CID,a
11,83.4
13,213.5
34,129
176,117.9
177,20.8
179,148
180,56.08
196,337.5
222,-33.35
240,178.7
241,80.08
242,249.2
243,249.2
244,205.3
260,-66.38
262,182
263,117.6
264,163.5
281,-191.5
284,101
289,245.5
297,-161.50
300,189.1
307,253
313,-85.05
323,301.71
335,191.0
342,202.2
356,125.62
379,239
398,120.2
527,48
650,87.5
674,7.3
679,189
700,170.3
702,78.24
712,-19.5
713,210.5
727,311
768,25.63
784,150.2
785,286
798,254
807,184.4
878,5.95
887,64.7
931,217.9
935,2730
942,247
944,83
948,-88.48
949,193
957,194.7
991,375
996,181.75
1004,407
1030,187.6
1031,97.2
1032,141.1
1049,115.25
1057,309
1068,37.3
1110,235
1118,337
1119,-10.05
1140,110.6
1146,2.87
1183,285
1254,214.6
2256,205
2272,293
2345,321.3
2537,209
2758,176
2879,201.9
3024,97
3026,340
3031,270
3036,260
3283,34.6
3301,116.5
3314,225
3327,111.5
3610,334
3776,82.3
4133,222
4684,220
4685,173.9
4837,146
4933,351
5054,280
5235,1704
5237,168
5238,1304
5281,371
5541,258.5
5565,266.5
5727,732
5943,76.7
5971,152
5976,63.9
6050,307
6061,87.5
6115,184.1
6124,152
6184,129.6
6212,61.12
6228,152.8
6276,137.5
6278,74.0
6323,3.4
6324,-88.6
6325,-103.8
6327,-23.7
6328,42.5
6329,-6.4
6332,38.2
6334,-42.1
6337,12.3
6338,-13.8
6339,-72
6341,16.6
6342,81.6
6343,35.1
6344,39.75
6348,46.2
6351,-32.8
6354,10.6
6356,-99.9
6358,59.5
6360,-11.7
6363,31.8
6364,52.5
6365,57.4
6366,31.6
6367,51
6370,8.9
6371,8.2
6372,-40.8
6375,101.1
6377,67
6378,34.23
6382,25
6384,-57.8
6386,82.3
6387,63.95
6389,23.7
6391,-29.8
6392,-81.4
6393,-127.9
6394,110
6397,57
6398,70.3
6399,65.6
6403,49.7
6404,114
6406,95
6413,91.5
6419,162.0
6421,195.5
6423,112
6426,92.8
6427,92.8
6428,47.7
6429,3.5
6430,-39.1
6492,172
6496,234.5
6501,273.5
6506,294
6517,168.8
6544,215.32
6549,198
6556,27.83
6557,34.067
6558,68.5
6560,108
6561,64
6562,68.4
6564,96.4
6568,99.5
6569,79.59
6570,81.4
6571,119
6574,113.5
6575,87.2
6577,106.0
6581,142
6582,205
6584,56.7
6585,110
6586,71.0
6587,114.1
6588,243.5
6589,57.9
6591,146.0
6616,159.5
6623,360.5
6627,305
6629,153
6645,292
6654,156
6658,100.5
6720,328
6780,377
6781,295
6787,413
6819,345
6877,268
6893,221.5
6895,213
6896,216
6917,91.5
6945,245.5
6946,284
6947,216
6986,210
6989,233
6998,197
7000,224
7015,299
7017,286
7044,155.5
7047,237.7
7057,306
7061,216.3
7070,402
7095,256.1
7102,302
7111,401
7148,218.0
7211,244.2
7216,129
7237,144.5
7239,180.1
7240,208.8
7242,200.3
7245,174.9
7250,214
7251,241
7255,243
7257,272
7259,214
7285,158
7286,142
7294,80.1
7296,71.8
7321,56.7
7343,117
7344,154
7354,160
7357,95
7361,171
7362,161.7
7367,220.8
7368,103.46
7372,201
7406,152.4
7407,165.4
7410,202.1
7412,201
7416,210.8
7439,230.5
7467,237
7473,238.3
7474,242
7475,332
7477,262.5
7497,163
7498,191
7500,136.2
7501,145.3
7503,174
7505,190.7
7515,196.25
7516,243.5
7519,155.5
7521,159.5
7525,138.5
7583,258
7618,350
7622,207
7636,216
7674,172
7693,204
7703,234
7716,298
7720,184.34
7732,243
7751,145
7757,171.7
7762,120.5
7765,102.7
7766,126
7768,270
7794,205
7802,147
7809,138.3
7810,162.4
7811,195
7812,232
7813,200.4
7819,132
7835,117.9
7837,189
7838,153.9
7839,131.3
7840,71
7841,71.3
7843,-0.50
7844,-6.47
7847,52.3
7848,67.8
7850,44.5
7853,53.5
7854,97.2
7855,77.2
7858,96.9
7861,6
7864,59.5
7865,31.5
7868,101.4
7870,198
7884,150
7885,172
7892,60.21
7895,102.26
7896,207.5
7899,200
7900,120
7902,134.1
7904,72.8
7909,115.7
7910,133
7912,84
7914,68.5
7915,88.6
7918,139.5
7922,261
7923,202.0
7929,139.1
7930,195
7932,230.5
7933,214
7934,203.3
7937,144
7944,187
7947,164.7
7950,208
7953,170.4
7958,169.4
7959,147.5
7961,156.2
7962,100.9
7964,131.6
7965,134.5
7966,161.84
7967,155.6
7975,129.4
7986,344.5
7997,101.3
8003,36.06
8004,29.9
8007,78
8011,221
8012,98.95
8016,1559.24
8019,124.1
8020,41.6
8021,55.5
8025,54.5
8026,17
8027,129.7
8028,65
8029,31.5
8030,84.0
8033,111
8038,116.5
8042,315
8051,151.5
8053,99.2
8054,145
8058,68.73
8063,103
8064,229.5
8066,238
8067,126.6
8071,82.5
8074,110
8076,135.7
8078,80.7
8079,83
8082,106
8083,128
8086,249
8095,156.4
8103,157
8111,207
8112,239
8113,268.8
8115,178.5
8117,245.8
8119,138
8121,190.5
8125,121.2
8128,295
8129,175.8
8133,168.4
8134,193
8141,150.47
8146,196
8147,218.1
8148,159.5
8150,162
8160,192
8172,285
8174,229
8175,212
8177,230.4
8178,246
8179,188
8183,213.8
8184,243
8190,256
8193,259
8195,264
8200,327.3
8227,157
8252,-47.68
8254,-24.82
8255,-7.0
8260,100.5
8294,221
8298,198
8301,-75.9
8303,203
8343,384
8370,325
8404,207.6
8413,300
8418,341.3
8438,263
8449,210
8467,285
8471,88.8
8472,110
8489,236
8490,278
8554,283.7
8561,342
8635,256
8640,300.7
8686,162.5
8698,250
8712,195
8821,99.4
8830,274.5
8831,279
8843,229
8846,145
8850,123.5
8857,77.1
8858,130
8868,180.8
