CID,a
0_273,0.00974
1_273,0.00974
2_298,0.00893
3_298,0.00893
4_323,0.00824
5_323,0.00824
6_348,0.00764
7_348,0.00764
8_273,0.01785
9_273,0.01785
10_298,0.01635
11_298,0.01635
12_323,0.01509
13_323,0.01509
14_348,0.014
15_348,0.014
16_273,0.05397
17_273,0.05397
18_298,0.04944
19_298,0.04944
20_323,0.04562
21_323,0.04562
22_348,0.04234
23_348,0.04234
24_273,0.29213
25_273,0.29213
26_298,0.26763
27_298,0.26763
28_323,0.24691
29_323,0.24691
30_348,0.22917
31_348,0.22917
32_273,0.19517
33_273,0.19517
34_298,0.17879
35_298,0.17879
36_323,0.16496
37_323,0.16496
38_348,0.15311
39_348,0.15311
40_273,0.45441
41_273,0.45441
42_298,0.41628
43_298,0.41628
44_323,0.38406
45_323,0.38406
46_348,0.35647
47_348,0.35647
48_273,0.27968
49_273,0.27968
50_298,0.25621
51_298,0.25621
52_323,0.23638
53_323,0.23638
54_348,0.2194
55_348,0.2194
56_273,0.18501
57_273,0.18501
58_298,0.16949
59_298,0.16949
60_323,0.15637
61_323,0.15637
62_348,0.14514
63_348,0.14514
64_273,0.43884
65_273,0.43884
66_298,0.40202
67_298,0.40202
68_323,0.3709
69_323,0.3709
70_348,0.34426
71_348,0.34426
72_273,0.00014
73_273,0.00014
74_298,0.00012
75_298,0.00012
76_323,0.00011
77_323,0.00011
78_348,0.00011
79_348,0.00011
80_273,1.79348
81_273,1.79348
82_298,1.64302
83_298,1.64302
84_323,1.51585
85_323,1.51585
86_348,1.40695
87_348,1.40695
88_273,1.53882
89_273,1.53882
90_298,1.40972
91_298,1.40972
92_323,1.30061
93_323,1.30061
94_348,1.20718
95_348,1.20718
96_273,2.16917
97_273,2.16917
98_298,1.98719
99_298,1.98719
100_323,1.83338
101_323,1.83338
102_348,1.70167
103_348,1.70167
104_273,0.63794
105_273,0.63794
106_298,0.58442
107_298,0.58442
108_323,0.53919
109_323,0.53919
110_348,0.50046
111_348,0.50046
112_273,0.65669
113_273,0.65669
114_298,0.6016
115_298,0.6016
116_323,0.55503
117_323,0.55503
118_348,0.51516
119_348,0.51516
120_273,1.79348
121_273,1.79348
122_298,1.64302
123_298,1.64302
124_323,1.51585
125_323,1.51585
126_348,1.40695
127_348,1.40695
128_273,1.53882
129_273,1.53882
130_298,1.40972
131_298,1.40972
132_323,1.30061
133_323,1.30061
134_348,1.20718
135_348,1.20718
136_273,2.16917
137_273,2.16917
138_298,1.98719
139_298,1.98719
140_323,1.83338
141_323,1.83338
142_348,1.70167
143_348,1.70167
144_273,0.63794
145_273,0.63794
146_298,0.58442
147_298,0.58442
148_323,0.53919
149_323,0.53919
150_348,0.50046
151_348,0.50046
152_273,0.65669
153_273,0.65669
154_298,0.6016
155_298,0.6016
156_323,0.55503
157_323,0.55503
158_348,0.51516
159_348,0.51516
160_273,0.0
161_273,0.0
162_298,0.0
163_298,0.0
164_323,0.0
165_323,0.0
166_348,0.0
167_348,0.0
168_273,0.45152
169_273,0.45152
170_298,0.41364
171_298,0.41364
172_323,0.38163
173_323,0.38163
174_348,0.35421
175_348,0.35421
176_273,0.3286
177_273,0.3286
178_298,0.30104
179_298,0.30104
180_323,0.27774
181_323,0.27774
182_348,0.25778
183_348,0.25778
184_273,0.64892
185_273,0.64892
186_298,0.59448
187_298,0.59448
188_323,0.54847
189_323,0.54847
190_348,0.50907
191_348,0.50907
192_273,0.01728
193_273,0.01728
194_298,0.01583
195_298,0.01583
196_323,0.01461
197_323,0.01461
198_348,0.01356
199_348,0.01356
200_273,0.02048
201_273,0.02048
202_298,0.01876
203_298,0.01876
204_323,0.01731
205_323,0.01731
206_348,0.01607
207_348,0.01607
208_273,0.44523
209_273,0.44523
210_298,0.40788
211_298,0.40788
212_323,0.37631
213_323,0.37631
214_348,0.34927
215_348,0.34927
216_273,0.44523
217_273,0.44523
218_298,0.40788
219_298,0.40788
220_323,0.37631
221_323,0.37631
222_348,0.34927
223_348,0.34927
224_273,1.10322
225_273,1.10322
226_298,1.01067
227_298,1.01067
228_323,0.93244
229_323,0.93244
230_348,0.86546
231_348,0.86546
232_273,0.90559
233_273,0.90559
234_298,0.82962
235_298,0.82962
236_323,0.76541
237_323,0.76541
238_348,0.71042
239_348,0.71042
240_273,1.40172
241_273,1.40172
242_298,1.28413
243_298,1.28413
244_323,1.18474
245_323,1.18474
246_348,1.09963
247_348,1.09963
248_273,0.25995
249_273,0.25995
250_298,0.23814
251_298,0.23814
252_323,0.21971
253_323,0.21971
254_348,0.20392
255_348,0.20392
256_273,0.27196
257_273,0.27196
258_298,0.24914
259_298,0.24914
260_323,0.22986
261_323,0.22986
262_348,0.21335
263_348,0.21335
264_273,0.08344
265_273,0.08344
266_298,0.07644
267_298,0.07644
268_323,0.07053
269_323,0.07053
270_348,0.06546
271_348,0.06546
272_273,0.08344
273_273,0.08344
274_298,0.07644
275_298,0.07644
276_323,0.07053
277_323,0.07053
278_348,0.06546
279_348,0.06546
280_273,0.14318
281_273,0.14318
282_298,0.13117
283_298,0.13117
284_323,0.12101
285_323,0.12101
286_348,0.11232
287_348,0.11232
288_273,0.67581
289_273,0.67581
290_298,0.61911
291_298,0.61911
292_323,0.57119
293_323,0.57119
294_348,0.53016
295_348,0.53016
296_273,0.52325
297_273,0.52325
298_298,0.47935
299_298,0.47935
300_323,0.44225
301_323,0.44225
302_348,0.41048
303_348,0.41048
304_273,0.91332
305_273,0.91332
306_298,0.8367
307_298,0.8367
308_323,0.77194
309_323,0.77194
310_348,0.71648
311_348,0.71648
312_273,0.07929
313_273,0.07929
314_298,0.07264
315_298,0.07264
316_323,0.06701
317_323,0.06701
318_348,0.0622
319_348,0.0622
320_273,0.08598
321_273,0.08598
322_298,0.07877
323_298,0.07877
324_323,0.07267
325_323,0.07267
326_348,0.06745
327_348,0.06745
328_273,0.26743
329_273,0.26743
330_298,0.24499
331_298,0.24499
332_323,0.22603
333_323,0.22603
334_348,0.20979
335_348,0.20979
336_273,0.26743
337_273,0.26743
338_298,0.24499
339_298,0.24499
340_323,0.22603
341_323,0.22603
342_348,0.20979
343_348,0.20979
344_273,0.02254
345_273,0.02254
346_298,0.02065
347_298,0.02065
348_323,0.01905
349_323,0.01905
350_348,0.01768
351_348,0.01768
352_273,0.05211
353_273,0.05211
354_298,0.04773
355_298,0.04773
356_323,0.04404
357_323,0.04404
358_348,0.04088
359_348,0.04088
360_273,2.25464
361_273,2.25464
362_298,2.06549
363_298,2.06549
364_323,1.90562
365_323,1.90562
366_348,1.76872
367_348,1.76872
368_273,1.96793
369_273,1.96793
370_298,1.80283
371_298,1.80283
372_323,1.6633
373_323,1.6633
374_348,1.54381
375_348,1.54381
376_273,2.6737
377_273,2.6737
