FID,(atom depth)-seq,Multiplicity seq
1, C 0 C 1 C 2, 1 1
2, C 0 C 1, 1
3, C 0 O 1, 2
4, C 0 O 1, 1
5, C 0 C 1 O 2, 1 1
6, C 0 C 1 C 1, 1 1
7, O 0 C 1 C 2, 1 1
8, C 0 C 1 C 2 C 2, 1 1 1
9, C 0 O 1 C 2, 1 1
10, C 0 N 1, 1
11, O 0 C 1 C 2 O 2, 1 1 2
12, C 0 C 1 O 2, 1 2
13, C 0 C 1 C 2 C 2, 2 1 1
14, C 0 C 1 C 2, 1 2
15, C 0 C 1 N 2, 1 1
16, C 0 C 1 C 2 O 2, 1 1 2
17, C 0 C 1 O 1, 1 2
18, C 0 C 1 O 2 O 2, 1 1 2
19, C 0 C 1, 2
20, C 0 O 1 O 1 C 2, 2 1 1
21, C 0 C 1 C 2 O 1, 1 2 2
22, C 0 C 1 C 2 C 2, 1 1 2
23, C 0 C 1 O 1, 1 1
24, C 0 C 1 C 2 O 1, 1 1 2
25, C 0 C 1 C 2 C 1 O 2, 1 1 1 2
26, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
27, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
28, C 0 C 1 C 2, 2 1
29, C 0 C 1 C 2 C 2 O 1, 1 1 2 2
30, C 0 C 1 C 1, 1 2
31, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
32, C 0 C 1 C 1 C 1, 1 1 1
33, C 0 C 1 N 2, 1 3
34, C 0 C 1 C 2 O 2, 1 1 1
35, N 0 C 1 O 2, 2 2
36, O 0 C 1 C 2 C 2 C 2, 1 1 1 1
37, N 0 C 1, 1
38, C 0 N 1 N 2, 1 1
39, C 0 C 1 C 2 O 2 O 1 C 2, 1 1 1 1 1
40, C 0 C 1 C 1 O 1 O 2, 1 1 1 1
41, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 2
42, C 0 C 1 C 2 C 1 O 2, 2 1 1 2
43, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
44, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
45, C 0 C 1 C 1 C 2 O 1, 1 1 2 1
46, C 0 C 1 C 2 O 2 C 1 C 2 O 2, 1 1 2 1 1 2
47, C 0 C 1 C 1 C 1 C 1, 1 1 1 1
48, C 0 C 1 C 2 C 1 C 2, 1 1 1 1
49, O 0 C 1 C 2 O 2 C 1 C 2 O 2, 1 1 2 1 1 2
50, C 0 C 1 C 1 C 1 O 1, 1 1 1 1
51, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
52, O 0 C 1 C 2 C 1 C 2, 1 1 1 1
53, O 0 C 1 C 2 C 2, 1 1 1
54, C 0 C 1 C 1 C 1, 1 1 2
55, O 0 C 1 C 2 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
56, C 0 C 1 C 2 C 2 O 1 O 1 C 2, 1 1 2 2 1 1
57, C 0 C 1 C 1 C 2, 2 1 2
58, O 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
59, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 1
60, C 0 C 1 C 1 C 2, 1 1 2
61, C 0 C 1 C 1 O 1 C 2, 1 1 1 1
62, O 0 C 1 C 2 C 1 C 2 O 2, 1 2 1 1 2
63, C 0 C 1 C 2 O 2 C 1 O 2, 1 1 1 1 1
64, C 0 C 1 C 2 C 1 O 2 O 1, 1 1 1 1 1
65, C 0 N 1 C 2, 1 1
66, C 0 C 1 C 1 O 2, 1 1 2
67, C 0 C 1 C 2 C 1 O 2 O 2, 1 1 1 1 2
68, C 0 N 1 C 2 C 2 N 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
69, C 0 C 1 C 2 C 2 C 1 O 2 O 2, 1 1 1 1 1 2
70, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1
71, O 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
72, N 0 C 1 C 2, 1 2
73, N 0 C 1 C 2, 1 1
74, C 0 C 1 C 2 C 1 N 2, 1 1 1 1
75, C 0 C 1 C 2 O 1 O 1 C 2, 1 2 2 1 1
76, N 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
77, C 0 C 1 O 2 N 1 C 2 C 2, 1 1 1 1 1
78, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 1
79, C 0 C 1 C 2 C 2 C 1 C 2 C 2 C 2, 1 1 2 1 1 1 1
80, C 0 N 1 C 2 C 2, 1 1 1
81, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 2 1 1 1 1 2
82, C 0 C 1 C 1 O 1, 1 1 1
83, C 0 O 1 C 2 O 1 C 2 O 1 C 2, 1 1 1 1 1 1
84, C 0 N 1, 3
85, C 0 C 1 C 2 O 2 O 1, 1 1 1 2
86, C 0 C 1 C 2 C 1 C 2, 1 1 1 2
87, N 0 C 1 C 2 C 1 C 2 C 1 C 2, 1 1 1 1 1 1
88, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
89, N 0 C 1 C 1, 1 1
90, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1
91, O 0 N 1 O 2, 1 2
