FID,(atom depth)-seq,Multiplicity seq
1, C 0 O 1, 1
2, C 0 C 1, 1
3, C 0 O 1, 2
4, C 0 C 1 C 2, 1 1
5, C 0 O 1 C 2, 1 1
6, C 0 C 1 O 2, 1 1
7, C 0 C 1, 2
8, C 0 C 1 O 2 O 2, 1 1 2
9, C 0 C 1 C 1, 1 1
10, C 0 C 1 C 1 C 2 C 2, 1 1 1 1
11, O 0 C 1 C 2, 1 1
12, C 0 C 1 C 2, 1 2
13, C 0 C 1 C 2 C 2, 1 1 1
14, C 0 C 1 O 2 O 1, 1 1 1
15, O 0 C 1 C 2 O 2, 1 1 2
16, C 0 C 1 O 2, 1 2
17, C 0 N 1, 1
18, C 0 C 1 C 2, 2 1
19, C 0 C 1 C 2 O 2, 1 1 2
20, C 0 C 1 O 1, 1 2
21, C 0 C 1 N 2, 1 1
22, C 0 C 1 O 2 O 2 N 1, 1 1 2 1
23, C 0 O 1 O 1 C 2, 2 1 1
24, O 0 C 1 C 2 C 2, 1 1 1
25, C 0 C 1 C 2 O 1, 1 2 2
26, N 0 C 1, 1
27, C 0 C 1 C 1 C 1, 1 1 1
28, C 0 N 1 C 2 O 1, 1 1 2
29, C 0 N 1 C 2 C 2, 1 1 1
30, C 0 C 1 O 2 O 2 O 1, 1 1 2 1
31, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 1
32, C 0 C 1 O 2 O 1, 1 1 2
33, C 0 C 1 C 2 O 1, 1 1 2
34, C 0 C 1 C 2 C 2, 2 1 1
35, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
36, C 0 C 1 C 1, 1 2
37, C 0 C 1 N 2 O 2, 1 1 2
38, C 0 C 1 N 2, 1 3
39, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
40, C 0 C 1 C 2 C 2, 1 1 2
41, C 0 C 1 C 2 C 2 O 1, 1 1 2 2
42, O 0 C 1 C 2 C 2 C 2, 1 1 1 1
43, N 0 C 1 O 2, 2 2
44, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
45, C 0 C 1 O 2 O 1, 1 2 1
46, C 0 C 1 C 2 O 2, 1 1 1
47, C 0 C 1 O 1, 1 1
48, N 0 C 1 C 2 C 1 C 2 C 1 C 2, 1 1 1 1 1 1
49, C 0 C 1 C 2 C 1 O 2 O 2, 1 1 1 1 2
50, O 0 O 1, 1
51, C 0 C 1 C 1 C 1 O 2, 1 1 1 1
52, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
53, C 0 C 1 C 2 C 2 O 1, 1 1 1 1
54, C 0 N 1 O 2, 1 2
55, C 0 C 1 C 2 C 1 O 2, 2 1 1 2
56, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 2
57, N 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
58, C 0 C 1 C 1 C 1 C 1, 1 1 1 1
59, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 2 1 1 1 1 2
60, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1
61, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
62, C 0 C 1 C 1 O 1, 1 1 1
63, C 0 C 1 C 2 C 1 N 2, 1 1 1 1
64, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 1
65, C 0 C 1 C 1 C 2, 1 1 1
66, C 0 N 1 N 2, 1 1
67, C 0 C 1 C 2 O 1 O 1 C 2, 1 2 2 1 1
68, C 0 C 1 C 2 O 2 O 1 C 2, 1 1 1 1 1
69, N 0 C 1 C 2, 1 2
70, C 0 C 1 C 2 C 1 C 2, 1 1 1 2
71, C 0 C 1 O 2 N 1 C 2 C 2, 1 1 1 1 1
72, C 0 C 1 C 2 O 2 O 1, 1 1 1 2
73, N 0 C 1 N 2 N 2, 2 1 1
74, C 0 N 1, 3
75, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1
76, C 0 C 1 C 1 C 1 O 1, 1 1 1 1
77, C 0 C 1 C 2 C 1 C 2, 1 1 1 1
78, C 0 C 1 C 1 O 2, 1 1 2
79, O 0 C 1 C 2 O 2 C 1 C 2 O 2, 1 1 2 1 1 2
80, O 0 C 1 C 2 C 1 C 2, 1 1 1 1
81, C 0 C 1 C 1 C 1, 1 1 2
82, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
83, C 0 C 1 O 2 C 1 O 2 C 1 O 2 C 1 O 2, 1 1 1 1 1 1 1 1
84, O 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
85, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
86, C 0 O 1 O 2, 1 1
87, C 0 N 1 C 2 C 2 O 1, 1 1 1 2
88, N 0 C 1 C 1, 1 1
89, C 0 N 1 C 2 C 2 N 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
90, C 0 C 1 C 2 C 2 O 1 O 1 C 2, 1 1 2 2 1 1
91, O 0 C 1 C 2 C 1 C 2 O 2, 1 2 1 1 2
92, C 0 C 1 C 2 C 2 C 1 O 2 O 2, 1 1 1 1 1 2
93, C 0 C 1 C 1 O 2, 1 1 1
94, O 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
