FID,(atom depth)-seq,Multiplicity seq
1, C 0 O 1, 2
2, C 0 C 1, 1
3, C 0 O 1, 1
4, C 0 C 1 C 2, 1 1
5, C 0 O 1 C 2, 1 1
6, C 0 C 1 O 2, 1 1
7, O 0 C 1 C 2, 1 1
8, C 0 N 1, 1
9, C 0 C 1 C 2 C 2, 1 1 1
10, N 0 C 1, 1
11, C 0 C 1 C 1, 1 1
12, C 0 C 1 C 2, 1 2
13, C 0 O 1 O 1 C 2, 2 1 1
14, O 0 C 1 C 2 O 2, 1 1 2
15, N 0 C 1 C 2, 1 1
16, C 0 N 1 C 2 C 2, 1 1 1
17, C 0 C 1 C 2 O 2, 1 1 2
18, C 0 N 1 C 2 C 2 O 1, 1 1 1 2
19, C 0 N 1 C 2 O 1, 1 1 2
20, C 0 C 1 O 2, 1 2
21, C 0 C 1 O 2 O 1, 1 1 1
22, C 0 C 1 C 2 C 2, 2 1 1
23, C 0 C 1 C 1 C 1, 1 1 1
24, C 0 C 1 C 1 C 2, 1 1 1
25, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
26, C 0 C 1 C 2 O 1, 1 1 2
27, C 0 C 1 C 2 O 2, 1 1 1
28, C 0 C 1 O 2 O 1, 1 1 2
29, C 0 C 1 N 2, 1 3
30, C 0 C 1 C 2, 1 3
31, C 0 C 1, 2
32, C 0 C 1 O 1, 1 2
33, C 0 C 1 N 2 O 2, 1 1 2
34, C 0 C 1 C 1, 1 2
35, C 0 C 1 O 1, 1 1
36, O 0 C 1 O 2, 1 2
37, C 0 C 1 C 2 O 1, 1 3 1
38, C 0 C 1 C 2, 2 1
39, C 0 C 1 C 2 C 2 O 2, 1 1 1 1
40, C 0 C 1 C 2 O 1, 1 1 1
41, N 0 C 1 N 2 O 2, 1 1 2
42, O 0 C 1 N 2 O 2, 1 1 2
43, C 0 C 1 C 2 C 1 O 2, 1 1 1 2
44, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1
45, C 0 C 1 C 2 C 1 C 2, 1 1 1 1
46, O 0 C 1 C 2 C 2, 1 1 1
47, N 0 C 1 C 2 O 2, 1 1 2
48, C 0 C 1 C 2 C 2, 1 1 2
49, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
50, N 0 C 1 C 2 C 2, 1 1 1
51, N 0 C 1 C 2 C 2 C 2, 1 1 1 1
52, C 0 C 1 C 2 C 1 C 2, 1 1 2 1
53, C 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
54, C 0 C 1 C 1 C 2 O 1, 1 1 1 1
55, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
56, C 0 C 1 C 2 C 1 O 2, 2 1 1 2
57, C 0 C 1 C 1 C 2 C 1 C 2, 1 1 1 1 1
58, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
59, C 0 N 1 C 2 C 2 N 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
60, C 0 C 1 C 2 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 1 1 1
61, C 0 C 1 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
62, C 0 C 1 C 1 C 1 O 2, 1 1 1 1
63, C 0 C 1 C 1 O 1, 1 1 1
64, C 0 C 1 C 2 C 1 C 2 C 2 O 1, 1 1 1 1 1 1
65, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
66, C 0 C 1 C 1 C 2 C 1 O 2, 1 1 1 1 1
67, C 0 C 1, 3
68, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 2
69, C 0 C 1 C 2 C 1 C 2 C 1 O 2, 1 1 1 1 1 2
70, C 0 C 1 C 2 O 1 C 2, 1 1 1 1
71, C 0 C 1 C 2 C 1 C 2 C 2 O 2, 1 1 1 1 1 1
72, C 0 N 1 N 2 O 1, 1 1 2
73, C 0 C 1 C 2 C 1 C 2, 1 2 1 2
74, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
75, C 0 N 1 N 2, 1 1
76, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 1
77, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1
78, C 0 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 1
79, O 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 2
80, O 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
81, C 0 C 1 C 2 O 2 O 1, 1 1 2 1
82, C 0 C 1 C 2 O 1 O 1 C 2, 1 2 2 1 1
83, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 1
84, O 0 C 1 C 2 C 1 C 2, 1 1 1 1
85, C 0 C 1 C 2 C 1 C 2, 1 1 1 3
86, N 0 C 1 C 1, 1 1
87, C 0 C 1 C 1 C 2 O 1, 1 1 2 1
88, C 0 C 1 C 2 C 2 C 1 C 2 C 2 C 2, 1 1 1 1 1 1 1
89, C 0 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 2
90, C 0 C 1 C 2 C 2 C 2 C 1 O 2, 1 1 1 1 1 1
91, C 0 C 1 C 1 O 2, 1 1 1
92, C 0 C 1 C 2 O 1 O 1 C 2, 1 1 2 1 1
93, C 0 C 1 C 2 C 2 C 1 C 2 C 2 O 2, 1 1 1 1 1 1 1
94, C 0 C 1 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
95, C 0 C 1 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 1 1
96, C 0 C 1 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1 1
97, C 0 C 1 C 1 O 1 C 2, 1 1 1 1
98, O 0 C 1 C 2 C 1 C 2, 1 1 1 2
99, O 0 C 1, 1
100, C 0 C 1 C 1 C 2 O 2, 1 1 1 2
101, O 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
102, C 0 C 1 C 1 C 1, 1 1 2
103, C 0 C 1 C 1 C 1 C 2 C 1 O 2, 1 1 1 1 1 1
104, C 0 C 1 C 2 C 1 C 2 C 2 C 2, 1 1 1 1 1 1
105, C 0 N 1 C 2, 1 1
106, C 0 C 1 C 2 C 1 C 2 C 1 O 2, 1 1 1 1 1 1
107, C 0 C 1 C 2 C 2 C 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
108, C 0 C 1 C 2 C 2 C 1 C 2 C 2 O 1, 1 1 1 1 1 1 1
109, C 0 C 1 C 1 C 1 C 2 C 1 C 2, 1 1 1 1 1 1
110, C 0 C 1 C 2 O 1, 1 2 1
111, C 0 C 1 C 2 C 1 C 2, 1 1 1 2
