CID,a
11,-35.6
13,16.92
34,-67.5
176,16.635
177,-123.4
179,15
180,-94.9
196,151.5
222,-77.7
227,145
234,35
240,-57.12
241,5.558
242,122.35
243,122.35
244,-15.2
260,-86.80
263,-88.6
264,-7.9
281,-205.02
297,-182.566
300,62
307,-7.5
311,153
313,-114.22
338,159
356,-56.73
379,16.5
398,-91.3
424,270.5
453,111
525,130.97
527,-80
604,131
611,213
612,16.8
650,-1.2
674,-93
679,18.45
700,10.4
702,-114.14
712,-92
713,2.55
727,112.5
753,18.1
768,-13.28
769,50
784,-0.43
785,170.5
787,33
798,52
807,113.7
878,-123
887,-97.8
931,80.2
935,1455
936,128.8
942,-79
948,-90.8
949,2.1
957,-14.7
965,16.3
980,113.5
991,6.1
992,174
996,40.91
1004,42.4
1030,-60
1031,-127
1032,-21.5
1049,-41.6
1054,207
1057,133
1065,177
1068,-98.24
1089,58
1101,165
1110,188
1115,185.5
1119,-75.5
1130,164
1140,-94.9
1146,-117.08
1176,132.70
1183,82
1254,-8
1480,153
1486,138
1493,114.8
2078,40.5
2087,104
2124,1291
2244,135
2256,177.0
2268,73.5
2286,10
2319,65.25
2345,19
2365,-33.4
2513,195
2519,236.2
2537,176.5
2683,80
2707,57
2728,40.9
2730,41.5
2758,1.5
2871,95.2
2943,155.5
3024,-52.5
3026,-35
3030,114.9
3031,144.5
3036,108.5
3048,175.5
3061,255.5
3118,-25
3120,158.5
3224,106
3249,116.5
3283,-116.3
3286,-12.5
3291,64.5
3293,0
3301,8.5
3314,-9.15
3346,7
3485,-14
3589,95.5
3598,165.5
3610,68.25
3776,-87.9
4004,3.85
4115,87
4130,35.8
4420,27
4650,115.7
4684,42.8
4685,53.1
4837,106
4870,202.5
4873,771
4931,77
4933,92
4937,229.7
4944,87
4947,148
5052,264.5
5054,109.8
5147,140
5238,651
5251,134.5
5333,165.5
5344,194
5392,30.25
5455,155.5
5541,-78
5565,12
5569,42
5727,290
5770,264.5
5780,111
5853,82.2
5943,-22.2
5953,174.5
5960,270.5
5971,-80
5976,-58
5987,205
5988,185.5
5993,105.5
6019,207
6028,70
6042,164
6049,245
6050,-75
6061,-52.4
6115,-6.0
6129,145
6174,89
6184,-58.2
6202,164
6212,-63.47
6221,84.5
6228,-60.3
6251,167
6276,-79
6278,-30
6281,255.5
6294,109.5
6322,244
6323,-93.7
6324,-182.794
6325,-169.18
6327,-97.6
6328,-66.5
6329,-93.42
6332,-118.4
6337,-138.7
6338,-153.84
6339,-160.5
6341,-81.2
6342,-44
6343,-147.8
6344,-95
6348,-111.7
6351,-127.4
6354,-111.7
6356,-126.8
6358,-89.0
6360,-138.3
6363,-95.119
6364,-130.7
6365,-96.93
6367,-112.7
6370,-130.4
6371,-118
6372,-157.42
6375,-28.7
6377,-65
6378,-112.13
6382,-110.1
6384,-172
6386,25.81
6389,-110.44
6391,-157.1
6392,-181
6393,-183.582
6397,-40
6398,-16
6399,-90
6403,-99.9
6404,53
6406,-19
6410,-8
6413,-95
6426,41
6427,26
6428,-36.22
6429,-92.53
6430,-99.4
6466,234
6492,32.9
6497,-27
6505,-80
6506,-55
6511,-133.7
6517,-82.5
6521,76.5
6544,-8.1
6556,-159.8
6557,-145.95
6558,-85
6560,-108
6561,-65.9
6562,-81
6564,-100.4
6568,-114
6569,-86.67
6570,-7
6571,-44.5
6574,-35
6575,-84.7
6577,-21.7
6581,13.56
6582,28
6584,-98.2
6585,-0.2
6587,-89.42
6589,-128.8
6591,-42.3
6616,52
6623,160
6627,-22
6641,40
6654,-62.5
6658,-47.55
6781,-40.5
6824,103
6877,13
6900,151
6904,165
6917,13.9
6945,32
6946,71.0
6947,44.5
6989,49.6
6998,-7
7015,51
7044,-43
7047,-14.78
7057,112
7095,69
7102,51.0
7111,120
7148,21
7158,180
7175,96.1
7184,68.5
7187,104.5
7204,118.5
7237,-25.16
7239,-16.7
7245,9.8
7257,71.5
7285,-13.9
7294,-75.6
7296,-142.5
7321,187.75
7344,-26
7357,-93
7361,-14.6
7362,-38.1
7389,232
7406,-96.0
7407,-23.2
7410,19.4
7412,-0.5
7416,5.7
7456,125.2
7473,51.7
7475,146
7477,22
7497,-70
7498,-1.5
7500,-94.95
7501,-30.65
7503,-39.4
7505,-12.82
7516,19.5
7519,-37.3
7533,169.5
7583,26.865
7618,21.5
7622,-70
7628,170.9
7636,-90
7641,-67.8
7652,39
7674,-30.0
7693,31.3
7703,21.3
7716,-14.4
7720,-70
7751,-26
7757,-80
7762,-97
7766,-43
7768,69.3
7769,9
7773,49
7794,147
7809,13.3
7810,7.5
7819,-61
7835,-25.6
7837,-41.5
7838,-100
7839,9.8
7840,-110
7841,-119
7843,-138.3
7844,-185.33
7847,-87.8
7848,-113.3
7850,-134.5
7854,-91.8
7855,-83.51
7858,-129
7860,15
7861,-122
7864,-103.5
7865,-99.8
7870,-50
7892,-153.6
7895,-76.8
7900,-95
7902,-65
7904,-93.2
7909,-85
7910,-90
7912,-61
7914,-86.8
7915,-73.4
7918,-73.4
7922,119.6
7923,52.56
7929,-47.85
7933,33.5
7937,-5.8
7944,-99.3
7947,-44.8
7950,62.8
7953,-44.5
7958,-41.5
7959,-63.8
7961,-30.6
7962,-126.6
7964,-45.2
7965,-17.7
7966,25.93
7967,-31
7975,-66.65
7986,-10
7997,-93
8003,-129.67
8004,-165.2
8007,-50
8011,-46
8012,-115.9
8016,-3
8019,-85.1
8021,-50
8025,-80.5
8026,-50
8027,-23.4
8028,-108.44
8029,-85.61
8030,-39.4
8033,-40
8038,-98.8
8040,30
8042,3
8051,-35.5
8054,-65.1
8058,-95.35
8063,-91.5
8064,20.43
8067,-75.69
8071,-58
8074,-70.3
8076,-70
8078,6.47
8082,-7
8083,-4.8
8086,42
8095,-61.7
8096,134
8103,-44.6
8111,-39
8113,27.9
8115,-51.9
8117,-10.4
8119,-37
8121,-31
8125,-101.7
8128,2
8129,-34.6
8133,-74.8
8141,-53.47
8146,-54.0
8147,-32.8
8148,-59.5
8150,-68
8160,-63.5
8172,-7
8174,7
8175,-3.9
8177,-68.1
8178,-44
8179,-45
8183,-35.2
8184,19
8190,-18.7
8193,24
8195,-7
8200,-9.4
8221,59.5
8252,-185.30
8254,-141.5
8255,-140.7
8260,-105.6
8268,77.5
8285,258
8301,-131.15
8342,195
8343,-55
8346,25
8376,80.1
8380,-40
8404,-35.8
8418,216
8434,117
8438,37
8447,180
8449,45
8461,70.5
8467,76.7
8471,-114.7
8472,-78
8478,165
8489,46
8606,172.5
8630,200.5
8635,24.4
8640,49.2
8749,93
8778,26
8800,171
8821,-71.2
8831,-20
8846,-64.6
8857,-83.8
8858,-59
8868,-45
8894,-49.2
8900,-90.549
8909,-95.2
8929,563
8946,51.5
8948,160.5
8981,120
9032,634
9033,-71.5
9215,111
9250,-80
9253,-93.4
9265,-8.0
9275,-50
9290,120
9298,41
9317,280
9321,1.54
9322,149.6
9357,95
9359,-88
9414,85
9649,178
9740,66
9863,2600
10038,-150
10041,-16.37
10049,202
10364,1
10372,21
10405,-3.8
10426,-57
10430,-29.3
10461,13.5
10476,52
10477,-6.55
10482,-95.5
10492,202
10509,13.8
10690,131
10692,156
10757,56.5
10777,88
10871,178.5
10900,-57
10903,-113
10928,-80.6
10943,-24.8
10967,-41.5
10977,-99
10986,255
11010,-40
11016,41
11025,177.5
11026,20
11029,990
11137,96.8
11177,88.5
11178,130
11185,-28
11237,31
11247,131
11407,165
11430,899
11443,20.5
11485,87
11487,53.5
11493,77.5
11552,-51
11583,-55.5
11597,-139.7
11610,-119.7
11641,-137.8
11711,-65
11715,-36.5
12145,19.5
12220,-139.3
12228,-45
12259,-94.6
12375,-74
12437,-1.2
12568,37
12932,38.4
12960,-40
13143,-54
13190,-49.2
13381,-66.3
13728,135
14260,-12
14716,-30
14771,315
14773,450
14780,1600
14786,1935
14794,655
14798,323
14812,562
14814,681
14817,285
14818,172.5
14819,1113
14820,2002
14827,887
14829,1326
14899,-100
14915,197
14917,-83.57
14935,125.6
14940,1840
14941,1540
14945,1377
15324,179
15600,-29.7
15666,149.6
15793,52.9
15965,218.5
16043,127.5
16115,151
16247,93.5
16248,119
16402,42
17095,-13
17358,-50.8
17531,53
17601,-64.5
17607,-135.82
18052,-80
18480,111
18616,255.5
19244,-8
19583,161.5
19883,-35
20848,151.5
21801,-55
21954,299
22188,176
22311,-60
22985,169.7
23327,213
23925,1538
23930,1246
23931,-38.87
23960,1750
23963,1668
23969,-116
23973,32.0691
23976,1907
23986,2233
23990,1910
23994,419.53
24012,192.6
24085,277
24193,-24.1
24243,1583
24247,-112
24261,1710
24268,308
24273,-28
24287,-33
24294,4
24295,-93.8
24350,606
24380,304
24385,1001
24386,-104.5
24387,-93.6
24402,190
24403,988
24404,44.1
24408,-7.2
24410,-77
24434,337
24439,1184
24455,622
24456,1670
24458,674
24470,212
24479,246
24482,131
24485,259
24497,1450
24502,398
24504,100
24526,-101.5
24532,375
24533,210
24535,250
24550,213
24553,-208.79
24554,287
24557,8.3
24558,-50.8
24569,31.1
24570,-16
24571,-5.9
24575,140.9
24588,415
24589,555
24593,504
24597,975
24603,-89
24609,568
24611,498
24612,237
24614,-41.5
24615,97
24617,1403
24630,171
24632,1353
24637,-76.34
24638,-80
24639,130
24647,8.5
24648,-54.1
24649,-37
24670,12.2
24685,90
24744,143
24749,146
24798,590
24807,-77
24813,1.25
24814,73.4
24816,-70
24819,160.5
24820,1127
24823,-192.7
24829,405
24848,570
24854,775
24864,79
24870,-59
24871,824
24924,470
24931,410
24947,568
24962,1000
24963,560
24965,735
24978,340
25134,-46
25135,-107.3
25154,360
25352,-9.3
25353,-122
25408,356.7
25523,2150
26042,1855
26059,414
26077,1127
27756,-80
30318,40.6
31211,40.5
31215,-112
31237,3
31239,80
31245,-100
31250,40
31254,-5.4
31256,-44
31260,-117.2
31263,-45
31268,-57.79
31271,7.49
31272,-77
31275,11.75
31278,27
31285,-81.3
31288,-32
31292,107
31347,27.6
31373,-22.2
31374,-18.59
31404,70
33022,25
33032,213
33599,-50
33934,-4
34023,-89
40818,-22.3
60963,175.5
61103,104
61503,16.8
62695,-139.3
64685,202
82170,111
89594,-79
91435,16.8
92092,165
93070,156
94175,174.5
104730,1495
104745,-21.5
104775,-7.9
107526,146
110612,20
121455,89
140487,-126.5
145068,-163.6
159055,176.5
162263,912
165453,95
165675,-8
167155,980
167250,200
168842,90
200164,151.5
220520,178
221493,198
222528,177
222547,175.5
224478,848.2
439550,170
439551,234
439568,202
440968,-62.5
441074,174.5
441207,255.5
442021,178
444266,132.5
444360,244
444679,170
445354,63
445639,16.3
447466,-69
516881,288
516892,50
516900,525
516902,248
517045,324
517055,436
517165,114
517312,207
521701,-55
574516,164
636363,132.70
637511,-7.5
637517,16.3
637552,174.5
637563,21.3
637566,-15
643460,134.5
657014,202
667449,174.5
969491,175.5
1201518,202
1548943,65
1549040,21.3
1549073,244
1549236,134.5
1549237,134.5
2723790,177
2723810,253
2723923,116
2723949,113.5
2724048,118.5
2724148,95
2724247,200
2735111,270
3028194,180.54
3032536,735
3032552,-9.3
3032576,174.5
3036746,174.5
4643716,1193
5257909,153
5273469,39
5280793,116.5
5280795,84.5
5283468,25
5287554,54
5287702,244
5315257,116.5
5317112,174.5
5352425,327.4
5353527,84.5
5353610,116.5
5359268,660
5360315,712
5360545,97.82
5364833,25
5365543,-80
5385558,111
5460294,270.5
5460299,213
5460341,842
5460467,1287
5462222,63.5
5462224,651
5463081,-80
5484444,174.5
5702050,116.5
5702296,89
6040503,111
6327386,-93
6328200,-165
6372069,116.5
6426889,368
6432478,116.5
6432644,84.5
6478437,175.5
6536972,116.5
6540731,116.5
6552009,202
6604605,174.5
6850753,300
6994089,10
7067801,116.5
9543187,176.5
9846230,177.5
9855836,95
9989226,2030
10198924,151
10434468,89
10448938,174.5
10909559,-80
11003810,116.5
11112419,90
11542767,660
11761472,177
11777341,174.5
11954021,105.5
11957628,89
12178130,25
12242824,202
12303031,105.5
12310947,104
12310951,104
12358480,200
12358489,175.5
12358497,200
12358706,116.5
12456033,-80
13417437,149.6
15302585,-50
15558051,39
15558252,255.5
15764013,-46.6
16129778,200
16129878,200
16131300,200
16133892,200
16134267,200
16211179,245
16211288,131
16213094,-77
16682931,-5.6
18594026,172.5
18668094,280
21902459,95
21917310,990
22630278,130
23266392,-71.5
23615615,200
23664719,135
23665710,560
23665730,233.5
23668193,271
23676148,233.5
23679004,174.5
23679634,174.5
23691008,180
24096961,174.5
24112890,116.5
24832091,247.5
24847841,264.5
24860538,104
24860539,105.5
24867865,174.5
25200171,20
25200196,-55
25203927,-55
42626440,1910
44135713,233.5
44318676,90
44575418,234
44630107,202
44630173,116.5
44630304,234
45039692,-8
45358008,174.5
46174049,200
46782954,185.5
46783411,255.5
46856306,164
50931538,177.5
54676825,112
54679407,112
54680660,112
58855793,116.5
66577029,116.5
69897601,178
70701347,270.5
71299657,116.5
71300666,264.5
71308193,116.5
71308275,111
71311077,116.5
71312306,200
71316037,175.5
71586773,310
86280331,116.5
86636910,95
87059370,135
87070941,116.5
87965006,16.8
91692850,185.5
91746237,116.5
91884638,116.5
92535137,104
101260859,200
101611446,104
101820673,175.5
101943071,-96.5
122164949,116.5
122172962,116.5
122176683,89
129010310,116.5
129659218,-80
131675083,131
134129492,200
134129658,116.5
134687881,105.5
134687882,175.5
134687884,200
134694848,116.5
134715773,116.5
135564772,-50
135564955,27
135565233,-95
