CID,n,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,dg_hyd_0,dg_hyd_1,dg_hyd_2,dg_hyd_3,bd_in_2,bd_in_3,na_in_C,na_in_N,na_in_O,na_ex_C,na_ex_N,na_ex_O,C2_C2_1,C2_C2_2,C2_C2_3,C2_C3_1,C2_C3_2,C2_C4_1,C2_N2_1,C2_N2_2,C2_N3_1,C2_O2_1,C3_C3_1,C3_C3_2,C3_C4_1,C3_N2_1,C3_N2_2,C3_N3_1,C3_O2_1,C4_C4_1,C4_N2_1,C4_O2_1,N2_N2_1,N2_N2_2,N2_N3_1,N2_O2_1,N3_N3_1,FC_C0_O1/2,FC_C0_C1/1,FC_C0_O1/1,FC_C0_C1_C2/1/1,FC_C0_O1_C2/1/1,FC_C0_C1_O2/1/1,FC_O0_C1_C2/1/1,FC_C0_N1/1,FC_C0_C1_C2_C2/1/1/1,FC_N0_C1/1,FC_C0_C1_C1/1/1,FC_C0_C1_C2/1/2,FC_C0_O1_O1_C2/2/1/1,FC_O0_C1_C2_O2/1/1/2,FC_N0_C1_C2/1/1,FC_C0_N1_C2_C2/1/1/1,FC_C0_C1_C2_O2/1/1/2,FC_C0_N1_C2_C2_O1/1/1/1/2,FC_C0_N1_C2_O1/1/1/2,FC_C0_C1_O2/1/2,FC_C0_C1_O2_O1/1/1/1,FC_C0_C1_C2_C2/2/1/1,FC_C0_C1_C1_C1/1/1/1,FC_C0_C1_C1_C2/1/1/1,FC_C0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_C2_O1/1/1/2,FC_C0_C1_C2_O2/1/1/1,FC_C0_C1_O2_O1/1/1/2,FC_C0_C1_N2/1/3,FC_C0_C1_C2/1/3,FC_C0_C1/2,FC_C0_C1_O1/1/2,FC_C0_C1_N2_O2/1/1/2,FC_C0_C1_C1/1/2,FC_C0_C1_O1/1/1,FC_O0_C1_O2/1/2,FC_C0_C1_C2_O1/1/3/1,FC_C0_C1_C2/2/1,FC_C0_C1_C2_C2_O2/1/1/1/1,FC_C0_C1_C2_O1/1/1/1,FC_N0_C1_N2_O2/1/1/2,FC_O0_C1_N2_O2/1/1/2,FC_C0_C1_C2_C1_O2/1/1/1/2,FC_C0_C1_C2_C1_C2_C2/1/1/1/1/1,FC_C0_C1_C2_C1_C2/1/1/1/1,FC_O0_C1_C2_C2/1/1/1,FC_N0_C1_C2_O2/1/1/2,FC_C0_C1_C2_C2/1/1/2,FC_N0_C1_C2_C1_C2/1/1/1/1,FC_N0_C1_C2_C2/1/1/1,FC_N0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_C2_C1_C2/1/1/2/1,FC_C0_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_C1_C1_C2_O1/1/1/1/1,FC_C0_C1_C2_C1_O2/1/1/1/1,FC_C0_C1_C2_C1_O2/2/1/1/2,FC_C0_C1_C1_C2_C1_C2/1/1/1/1/1,FC_C0_C1_C2_C1_C2_O2/1/1/1/1/2,FC_C0_N1_C2_C2_N1_C2_C2_O1/1/1/1/1/1/1/2,FC_C0_C1_C2_C1_C2_C1_C2_O1/1/1/1/1/1/1/1,FC_C0_C1_C1_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_C1_C1_C1_O2/1/1/1/1,FC_C0_C1_C1_O1/1/1/1,FC_C0_C1_C2_C1_C2_C2_O1/1/1/1/1/1/1,FC_O0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_C1_C1_C2_C1_O2/1/1/1/1/1,FC_C0_C1/3,FC_C0_C1_C2_C1_C2_C2/1/1/1/1/2,FC_C0_C1_C2_C1_C2_C1_O2/1/1/1/1/1/2,FC_C0_C1_C2_O1_C2/1/1/1/1,FC_C0_C1_C2_C1_C2_C2_O2/1/1/1/1/1/1,FC_C0_N1_N2_O1/1/1/2,FC_C0_C1_C2_C1_C2/1/2/1/2,FC_C0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_N1_N2/1/1,FC_C0_C1_C2_C2_C1_O2/1/1/1/1/1,FC_C0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/1,FC_C0_C1_C2_C1_C2_O1/1/1/1/1/1,FC_O0_C1_C2_C2_C1_O2/1/1/1/1/2,FC_O0_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_C1_C2_O2_O1/1/1/2/1,FC_C0_C1_C2_O1_O1_C2/1/2/2/1/1,FC_C0_C1_C2_C1_C2_O2/1/1/1/1/1,FC_O0_C1_C2_C1_C2/1/1/1/1,FC_C0_C1_C2_C1_C2/1/1/1/3,FC_N0_C1_C1/1/1,FC_C0_C1_C1_C2_O1/1/1/2/1,FC_C0_C1_C2_C2_C1_C2_C2_C2/1/1/1/1/1/1/1,FC_C0_C1_C2_C1_C2_O1/1/1/1/1/2,FC_C0_C1_C2_C2_C2_C1_O2/1/1/1/1/1/1,FC_C0_C1_C1_O2/1/1/1,FC_C0_C1_C2_O1_O1_C2/1/1/2/1/1,FC_C0_C1_C2_C2_C1_C2_C2_O2/1/1/1/1/1/1/1,FC_C0_C1_C1_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_C1_C1_C2_C1_C2_O1/1/1/1/1/1/1,FC_C0_C1_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1/1,FC_C0_C1_C1_O1_C2/1/1/1/1,FC_O0_C1_C2_C1_C2/1/1/1/2,FC_O0_C1/1,FC_C0_C1_C1_C2_O2/1/1/1/2,FC_O0_C1_C2_C1_C2_O2/1/1/1/1/2,FC_C0_C1_C1_C1/1/1/2,FC_C0_C1_C1_C1_C2_C1_O2/1/1/1/1/1/1,FC_C0_C1_C2_C1_C2_C2_C2/1/1/1/1/1/1,FC_C0_N1_C2/1/1,FC_C0_C1_C2_C1_C2_C1_O2/1/1/1/1/1/1,FC_C0_C1_C2_C2_C1_C2_C2_O1/1/1/1/1/1/1/2,FC_C0_C1_C2_C2_C1_C2_C2_O1/1/1/1/1/1/1/1,FC_C0_C1_C1_C1_C2_C1_C2/1/1/1/1/1/1,FC_C0_C1_C2_O1/1/2/1,FC_C0_C1_C2_C1_C2/1/1/1/2
3,11,5,123.636,0,4,1,0,2,3,0,0,3,3,2,3,1,0,5,0,0,5,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,1,120,0,1,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,14,10,120,0,10,0,0,2,8,0,0,0,0,12,2,0,0,10,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,1,126.667,0,0,1,0,0,0,0,0,0,2,2,2,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12,7,123.333,0,7,0,0,2,5,0,0,0,2,8,2,0,0,7,0,0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8,4,125,0,4,0,0,2,2,0,0,0,1,6,1,0,0,4,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,11,6,127.273,0,5,1,0,2,4,0,0,3,0,6,2,0,0,6,0,0,3,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,2,126.667,0,2,0,0,2,0,0,0,1,1,3,1,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6,2,126.667,0,2,0,0,2,0,0,0,0,2,4,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,1,133.333,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
