CID,a
191, -5
258, 108.4
263, 9.8
346, -60.3
424, 4.36
453, -2.0
581, 5
596, 158
602, 2.8
604, -6.7
614, -80.9
994, 70
1072, -8.80
1101, -43.2
1148, -31.5
1805, 39
2180, -42
3279, 13.7
3363, 37
3862, -21
4460, 164
4678, 29.5
4739, 76.4
5771, -26.2
5773, 47.7
5780, -2.0
5790, 37
5950, 2.8
5960, 4.36
6070, -71.8
6083, -41.78
6140, 70
6197, 6.8
6251, -0.49
6252, 158
6253, 158
6274, -39.7
6305, -31.5
6466, 86
6759, -117
6904, -42.7
8988, -80.9
8998, 4.4
9060, -31.5
9444, 39
10198, 27.4
10348, -60.3
10603, 11
10690, -6.7
10692, 15
12035, 5
14051, 13.7
14052, 13.7
14749, 51.6
14950, 51.6
16380, 108.4
16486, -108
18486, 34.6
21704, -5
24749, 52.7
25203, 11.6
32326, -5
34751, -42
36294, 129
37768, 99
40926, 76.4
41774, 165
41859, 164
60613, -97.3
60855, 40.9
60933, -97.3
60961, -61.7
62115, 164
65492, -20.1
71080, 2.8
71567, 70
82170, -2.0
92092, -42.7
93070, 15
96368, -5
107526, 52.7
114682, 158
114708, 102
131204, 29.5
145742, -80.9
157355, 14
170012, 108.4
275196, 32.7
290670, 102
320930, 11
439260, -37.3
439302, -26.2
439517, 7
439551, 86
439625, 108.4
439693, 76.4
440473, -21
440936, -60.3
441184, 165
441306, 164
441462, -42
442070, 102
442514, 11
444254, 165
445421, 165
460129, -0.5
472202, 76.4
493570, -8.80
643968, 37
656495, -42
656516, -42
2724224, 34.6
3048869, 140.69
4103928, -8.2
4432690, 165
5281734, -8.2
5288559, -39.7
5352011, 108.4
5459896, -44
5486971, 10.52
5748487, 29.5
6321404, -44
6325365, -42
6420052, -5
6426645, 51.6
6432315, 34.6
6433648, -8.2
6604642, 51.6
6918204, -26.9
6921840, -37.3
6971009, -39.7
6971047, -80.9
9572792, -44
9807916, 51.6
9933439, 32.7
10255083, 51.6
11969479, 5
12004215, -26.2
12302715, 47.7
12358851, 158
13652278, 34.6
13726008, 34.6
14475285, 15
15559608, 11
15559782, -8.2
16760122, 102
20112027, 40.9
21124837, 108.4
22810415, 76.4
23581789, 164
24801909, -42
24832117, 102
24838350, -26.9
24838940, 76.4
25078184, 108.4
44135375, 11.6
44283251, 76.4
44575418, 86
44630304, 86
44891366, 165
45029742, 11
53477758, -26.2
54670067, 24
54675810, -16.6
54676860, -16.6
54679076, 24
56841640, 11.6
56846568, 140.69
57416895, 39
57501501, 102
66509032, -42
70702327, 165
71296121, 76.4
71308275, -2.0
71310809, -8.80
71312704, 165
71449781, 5
73415808, 140.69
86580368, -39.7
87795236, -26.2
91659006, 165
91886532, 11.6
97041463, 76.4
102601139, 5
122172882, 165
129010024, 165
129628281, -26.9
131674886, 165
131854750, 15
132285147, 108.4
133565265, -8.2
134692532, 102
134694146, -42
134694648, 165
134694916, 76.4
134715813, -26.9
137796001, 102
138059738, 165
138106960, 11
138107021, 76.4
