CID,a
7778,3.7518
86749,0.8023
5282109,3.7545
20960,3.6986
Myrcene-8-ol,0.801
Neoisocarvonmenthyl_acetate,3.6953
5352162,3.6936
94579,3.6957
62321,3.6852
7335,3.6953
60985,3.698
5354882,3.7512
6086514,3.701
6432855,0.8006
6432225,3.6957
8294,3.6826
30248,3.695
10975,0.7991
1549025,3.6966
6432523,3.6962
Dihydronerol,0.8021
6549,0.8021
21630934,3.6944
13547825,0.7981
89385,3.6842
8842,0.8028
9017,3.698
cis-b-Terpinyl_acetate,3.6872
30249,3.6976
61780,3.6843
86748,0.8033
5464156,0.8024
5365982,3.7033
643820,0.8013
8835,3.7039
5355856,3.7002
7792,0.8028
Tetrahydromyrcenol,0.8043
91691738,3.6902
61098,3.6854
6548,0.8031
6951358,3.6954
543323,0.8029
8834,3.7055
637566,0.8063
5355853,3.7007
30247,3.6986
6532,3.6835
27867,3.6977
75699,3.6962
96291,0.8054
5365991,3.6967
6430998,0.8012
