CID,a
7778,1638
86749,1537
5282109,1717
20960,1640
Myrcene-8-ol,1919
Neoisocarvonmenthyl_acetate,1672
5352162,1868
94579,1608
62321,1698
7335,1795
60985,1739
5354882,1700
6086514,1821
6432855,1473
6432225,1599
8294,1569
30248,1700
10975,1631
1549025,1735
6432523,1641
Dihydronerol,1725
6549,1555
21630934,1623
13547825,1660
89385,1422
8842,1765
9017,1671
cis-b-Terpinyl_acetate,1622
30249,1582
61780,1791
86748,1449
5464156,1707
5365982,1794
643820,1808
8835,1811
5355856,1904
7792,1675
Tetrahydromyrcenol,1449
91691738,1722
61098,1624
6548,1431
6951358,1759
543323,1760
8834,1738
637566,1842
5355853,1834
30247,1609
6532,1622
27867,1600
75699,1569
96291,1600
5365991,1790
6430998,1685
