CID,a
263,1329.95
356,2357.94
702,770.2
878,450.35
887,486.93
957,2449.86
1031,1050.23
3283,1324.42
3776,1054.18
6276,1609.92
6325,537.75
6334,955.49
6343,731.05
6360,1238.31
6364,1013.29
6386,1338.88
6387,1296.37
6403,1801.49
6405,1618.33
6556,1518.57
6560,1332
6568,1334.14
6589,1799.63
7282,1798.16
7720,2451.87
7843,1236.31
7844,1100.6
7848,1011.29
7869,2225.87
7892,1798.8
7907,2080.92
7914,1890.46
8003,1516.65
8004,1380.83
8012,1291.23
8058,1797.1
8067,1571.59
8103,1890.01
8106,1851.34
8114,1884.11
8125,2220.21
8129,2168.55
8141,2638.35
8174,3009.57
8252,820.42
8254,757.95
8255,1104.66
8723,1611.45
8900,2077.52
8909,2444.28
8914,2730.78
8917,2971.5
10041,1521.32
10044,2081.59
10553,1385.62
10558,1293.42
10560,1293.34
10903,1040.78
10907,2361.69
10925,1572.76
11182,1320.98
11210,1665.11
11215,2359.85
11229,2080.81
11233,2360.73
11239,1382.11
11240,1384.05
11249,1665.79
11250,1667.02
11255,2360.73
11260,2080.26
11269,2360.09
11412,2359.03
11428,1614.47
11447,2359.25
11507,2078.6
11511,2360.56
11512,2358.81
11519,2358.94
11542,2081.91
11551,2361.83
11582,2079.23
11592,2361.33
11594,2359.62
11597,1660.55
11610,1940.51
11669,1946.13
11675,2362.11
11721,1324.4
11732,1615.61
11863,2358.6
12048,2077.97
12096,2358.52
12243,1666.58
12260,1946.9
12724,1662.85
12969,1662.43
12970,1663.99
12984,1945.14
12986,1664.79
13381,2780.48
14018,2359.5
14020,2639.05
14058,2641.44
14462,2640.25
15413,1608.86
15422,2131.28
15877,1575.65
16657,1945.73
22386,1614.44
22541,2451.56
23294,2450.72
28028,2640.07
28488,2174.86
31260,1611.23
62695,1103.39
77058,1941.4
81818,1994.71
92723,2640.31
140591,2224.77
172092,1665.3
638066,1663.61
639661,1663.48
642661,1665.69
5326158,1946.92
5326161,1383.43
5352447,1944.06
5357261,2226.53
