CID,a
263,65.79
356,49.82
702,56.24
887,48.07
957,85.3
1031,61.17
3776,65.12
6276,70.66
6324,20.24
6334,24.82
6360,32.15
6386,74.72
6403,44.35
6405,75.35
6556,36.92
6560,67.84
6568,69.98
6589,42.49
7282,41.02
7720,87.31
7843,30.15
7892,41.66
7907,48.3
8003,35
8058,39.96
8103,75.65
8129,79.09
8141,54.54
8174,94.81
8182,69.49
8723,72.19
8900,44.89
8914,91.12
10041,40.27
10044,48.96
10907,53.57
11006,89.21
11215,51.73
11229,48.17
11233,52.61
11255,52.61
11260,46.65
11269,51.97
11412,50.91
11428,75.21
11447,51.13
11507,45.96
11511,52.44
11512,50.69
11519,50.82
11542,49.29
11551,53.71
11582,46.6
11592,53.21
11594,51.5
11675,53.99
11732,79.07
11863,50.48
12048,45.34
12096,50.4
14018,51.38
14020,55.81
14040,54.48
14045,57.97
14058,58.16
14062,58.83
14067,67.29
14257,64.58
14462,55.81
15267,90.87
15600,59.67
16665,56.19
19041,60.53
22386,75.18
23415,66.06
23544,62.22
26057,62.08
26058,75.45
28021,57.7
28022,58.12
28023,57.31
28024,57.47
28025,56.42
28026,55.37
28028,56.68
31260,72.02
92723,57.07
112817,72.1
