CID,a
Water,75.32
Methylbromide,78.7
Carbon disulfide,78.99
Tetrafluoromethane,79.9
Chloromethane,80.8
Cyclopropane,81.2
Methanol,81.92
Iodomethane,82.75
Trifluoromethane,86.6
Ethylene oxide,87.0
Acetaldehyde,89.05
Methanethiol,89.1
Vinylchloride,89.45
Acetonitrile,91.7
Acrylonitrile,98.7
Formic acid,99.04
Trimethyleneoxide,99.6
Methylene chloride,100.0
Propene,102.0
Methylamine,102.1
Dimethylether,102.5
Dibromomethane,105.4
Ethylbromide,105.8
Nitromethane,105.98
Cyclobutane,106.3
Vinylbromide,107.5
Ethylchloride,107.8
Formamide,107.9
Isoxazole,108.1
1_1_1-Trifluoroethane,109.6
1_1-Dichloroethylene,111.29
Thiacyclobutane,112.5
Dichlorofluoromethane,112.6
Tetrafluoroethylene,113.0
cis-1_2-Dichloroethylene,113.8
Chlorodifluoromethane,114.1
Chloropentafluoroethane,114.2
trans-1_2-Dichloroethylene,114.24
Chloroform,114.32
Furan,114.56
Iodoethane,115.1
Cyclopentadiene,115.3
Cyclopropanecarbonitrile,115.5
Ethanol,115.9
Acetylchloride,117.2
Ethanethiol,117.9
Trifluoroacetonitrile,118.0
Dimethylsulfide,118.1
1_1-Difluoroethane,118.4
Methylformate,119.1
Propionitrile,119.3
Isothiazole,119.7
Maleic anhydride,120.1
Propylene oxide,120.4
Thiazole,121.0
2-Methylpropene,121.3
Fluorotrichloromethane,121.55
Chlorotrifluoromethane,121.6
2_3-Dihydrofuran,122.1
Propiolactone,122.1
1_3-Dioxolane,122.16
Cyclopentene,122.38
Chlorotrifluoroethylene,122.6
Methylcumulene,123.0
Acetic acid,123.1
s-trans-Butadiene,123.65
N-Methylformamide,123.8
Thiophene,123.8
Tetrahydrofuran,123.9
2-Butyne,124.3
trans-2-Butene,124.3
Acetone,124.7
3-Chloropropene,125.1
1_1-Dichloroethane,126.27
Methacrylonitrile,126.3
Dichlorodifluoromethane,126.8
cis-2-Butene,127.0
Pyrrole,127.74
Cyclopentane,128.8
1_2-Dichloroethane,128.81
Trichloroethylene,128.9
1-Butene,128.96
Ethylamine,130.0
1-Bromo-2-chloroethane,130.1
1-Chloro-1_1-difluoroethane,130.5
Perfluoroethane,131.4
1-Chloro-2_3-epoxypropane,131.6
1-Cyanobicyclobutane,131.8
Carbon tetrachloride,131.8
Isobutyroylchloride,131.8
1-Chloropropane,132.2
1-Butyne,132.6
Trimethylamine,132.6
Pyridine,133.0
1_5-Hexadiene,133.1
Methylenecyclobutane,133.6
Diiodomethane,133.81
Ethylenecarbonate,133.9
1-Cyanopropane,134.2
Nitroethane,134.22
Spiro(2_2)pentane,134.52
1-Bromopropane,134.6
Propionaldehyde,134.7
Methylhydrazine,134.93
Bromoform,135.1
2-Bromopropane,135.6
1_2-Dibromoethane,136.0
1-Iodopropane,136.2
Benzene,136.8
Dimethylamine,136.8
2-Iodopropane,137.3
Ethanolamine,137.7
2-Chlorothiophene,139.43
Tetrahydrothiophene,140.16
Acetic acid methylester,140.56
Butane,140.9
1_3-Cyclohexadiene,141.3
Butyrolactone,141.4
1_4-Cyclohexadiene,142.2
2-Methylfuran,143.72
1_3-Dioxane,143.9
2-Bromothiophene,144.0
Acrylic acid,144.2
Formic acid ethylester,144.3
1_1_1-Trichloroethane,144.4
n-Propylmercaptan,144.56
Ethylmethylsulfide,144.6
Methylphosphonyl difluoride,145.14
Isopropylmercaptan,145.35
Dimethylsulfoxide,145.4
Butanedinitrile,145.6
Cyclobutanecarbonitrile,146.0
Dimethyldisulfide,146.11
Fluorobenzene,146.29
2-Propenol,146.3
cis-Piperylene,146.57
1_4-Pentadiene,146.82
1-Propanol,146.88
1_2-Epoxybutane,147.0
Cyclopropylamine,147.11
1-Methylimidazole,147.2
Propionyl chloride,147.3
N_N-Dimethylformamide,148.36
Bromotrichloromethane,148.5
Crotonaldehyde,148.6
trans-Piperylene,149.33
Tetrahydropyran,149.6
Ethyleneglycol,149.8
2-Methylthiophene,149.83
1-Methylpyrrole,150.06
