CID,a
gdb_1,6.468999999999999
gdb_2,6.316
gdb_3,6.002000000000001
gdb_4,8.574
gdb_5,6.278
gdb_6,6.412999999999999
gdb_7,10.097999999999999
gdb_8,8.751
gdb_9,12.482000000000001
gdb_10,10.287
gdb_11,11.219000000000001
gdb_12,10.89
gdb_13,14.84
gdb_14,13.546
gdb_15,12.934000000000001
gdb_16,11.040999999999999
gdb_17,9.176
gdb_18,16.893
gdb_19,16.561
gdb_20,15.292
gdb_21,20.273
gdb_22,19.052
gdb_23,15.312000000000001
gdb_24,12.93
gdb_25,10.398
gdb_26,13.049000000000001
gdb_27,11.329
gdb_28,12.147
gdb_29,17.447
gdb_30,17.13
gdb_31,14.988
gdb_32,14.488
gdb_33,15.855
gdb_34,13.845
gdb_35,15.954
gdb_36,15.058
gdb_37,13.885
gdb_38,14.78
gdb_39,19.668
gdb_40,18.430999999999997
gdb_41,17.887999999999998
gdb_42,16.837
gdb_43,16.49
gdb_44,14.764000000000001
gdb_45,15.298
gdb_46,15.679
gdb_47,14.696
gdb_48,12.915
gdb_49,21.616
gdb_50,14.821
gdb_51,13.370999999999999
gdb_52,13.357999999999999
gdb_53,12.04
gdb_54,26.084
gdb_55,25.128
gdb_56,18.723
gdb_57,16.963
gdb_58,17.465
gdb_59,18.527
gdb_60,17.805999999999997
gdb_61,17.972
gdb_62,17.525
gdb_63,22.569000000000003
gdb_64,20.467
gdb_65,19.945999999999998
gdb_66,21.305999999999997
gdb_67,19.252
gdb_68,21.434
gdb_69,20.344
gdb_70,19.918
gdb_71,19.824
gdb_72,21.715999999999998
gdb_73,21.374000000000002
gdb_74,20.967
gdb_75,20.274
gdb_76,20.256
gdb_77,19.500999999999998
gdb_78,19.084
gdb_79,20.089000000000002
gdb_80,17.930999999999997
gdb_81,23.924
gdb_82,22.072
gdb_83,25.169
gdb_84,23.99
gdb_85,23.573
gdb_86,22.258000000000003
gdb_87,20.719
gdb_88,21.17
gdb_89,15.51
gdb_90,17.076
gdb_91,16.1
gdb_92,14.482999999999999
gdb_93,16.083
gdb_94,15.115
gdb_95,20.299
gdb_96,18.582
gdb_97,18.442999999999998
gdb_98,19.023
gdb_99,17.344
gdb_100,22.005
gdb_101,20.701999999999998
gdb_102,20.993000000000002
gdb_103,20.451
gdb_104,19.173
gdb_105,15.584000000000001
gdb_106,14.648
gdb_107,19.399
gdb_108,17.258
gdb_109,15.259
gdb_110,18.303
gdb_111,16.279
gdb_112,16.694000000000003
gdb_113,15.704
gdb_114,15.692
gdb_115,19.382
gdb_116,17.054000000000002
gdb_117,18.156
gdb_118,20.884
gdb_119,22.115
gdb_120,20.343
gdb_121,22.023000000000003
gdb_122,19.863
gdb_123,19.026
gdb_124,20.194000000000003
gdb_125,18.14
gdb_126,20.715999999999998
gdb_127,18.636
gdb_128,20.766
gdb_129,19.864
gdb_130,18.727
gdb_131,19.186
gdb_132,19.422
gdb_133,24.552
gdb_134,23.274
gdb_135,22.785
gdb_136,22.881
gdb_137,21.000999999999998
gdb_138,22.005
gdb_139,18.785
gdb_140,17.704
gdb_141,16.924
gdb_142,16.544
gdb_143,15.572000000000001
gdb_144,14.866
gdb_145,17.457
gdb_146,16.144000000000002
gdb_147,15.818
gdb_148,16.197
gdb_149,21.364
gdb_150,19.579
gdb_151,20.247
gdb_152,19.738
gdb_153,20.059
gdb_154,19.038
gdb_155,18.033
gdb_156,17.052
gdb_157,14.168
gdb_158,15.460999999999999
gdb_159,18.624000000000002
gdb_160,16.873
gdb_161,15.172
gdb_162,16.868
gdb_163,15.312000000000001
gdb_164,15.427
gdb_165,13.255
gdb_166,12.248
gdb_167,11.923
gdb_168,12.36
gdb_169,11.936
gdb_170,12.232000000000001
gdb_171,11.821
gdb_172,11.003
gdb_173,11.122
gdb_174,10.82
gdb_175,11.319
gdb_176,10.694
gdb_177,10.401
gdb_178,23.675
gdb_179,25.105999999999998
gdb_180,26.441999999999997
gdb_181,21.872
gdb_182,20.934
gdb_183,19.932000000000002
gdb_184,12.639000000000001
gdb_185,18.338
gdb_186,16.38
gdb_187,18.314
gdb_188,16.761
gdb_189,15.099
gdb_190,20.831999999999997
gdb_191,19.38
gdb_192,18.024
gdb_193,18.156
gdb_194,20.506999999999998
gdb_195,19.374000000000002
gdb_196,18.0
gdb_197,17.958
gdb_198,19.901
gdb_199,18.316
gdb_200,18.016
gdb_201,20.948
gdb_202,19.535999999999998
gdb_203,19.399
gdb_204,18.123
gdb_205,20.983
gdb_206,19.414
gdb_207,19.259
gdb_208,17.986
gdb_209,19.995
gdb_210,18.065
gdb_211,16.639
gdb_212,20.192999999999998
gdb_213,18.783
gdb_214,17.214000000000002
gdb_215,16.093
gdb_216,15.145999999999999
gdb_217,15.138
gdb_218,14.209000000000001
gdb_219,28.513
gdb_220,26.404
gdb_221,25.93
gdb_222,27.393
gdb_223,25.46
gdb_224,27.295
gdb_225,26.432
gdb_226,29.796999999999997
gdb_227,28.879
gdb_228,30.906
gdb_229,29.948
gdb_230,29.596999999999998
gdb_231,23.826
gdb_232,23.663
gdb_233,27.581
gdb_234,26.384
gdb_235,23.951
gdb_236,21.969
gdb_237,23.677
