CID,a
gdb_1,-40.47893
gdb_2,-56.525887
gdb_3,-76.404702
gdb_4,-77.30842700000001
gdb_5,-93.411888
gdb_6,-114.48361299999999
gdb_7,-79.764152
gdb_8,-115.67913600000001
gdb_9,-116.609549
gdb_10,-132.71815
gdb_11,-153.78761200000002
gdb_12,-169.86078799999999
gdb_13,-119.052475
gdb_14,-154.972731
gdb_15,-154.960361
gdb_16,-117.824798
gdb_17,-153.74256200000002
gdb_18,-193.08834
gdb_19,-209.159302
gdb_20,-225.22146099999998
gdb_21,-158.342346
gdb_22,-194.267232
gdb_23,-153.459846
gdb_24,-169.557758
gdb_25,-185.64853300000001
gdb_26,-190.624631
gdb_27,-206.721858
gdb_28,-227.798785
gdb_29,-155.908941
gdb_30,-155.897345
gdb_31,-172.00614099999999
gdb_32,-188.042067
gdb_33,-191.810916
gdb_34,-207.916786
gdb_35,-193.075202
gdb_36,-209.144909
gdb_37,-229.013797
gdb_38,-228.99261299999998
gdb_39,-158.34094299999998
gdb_40,-194.261089
gdb_41,-194.254127
gdb_42,-230.18307599999997
gdb_43,-157.116735
gdb_44,-193.039603
gdb_45,-173.147782
gdb_46,-193.034988
gdb_47,-157.115484
gdb_48,-193.03409399999998
gdb_49,-248.375248
gdb_50,-210.10178900000002
gdb_51,-226.160842
gdb_52,-229.969129
gdb_53,-246.02915
gdb_54,-197.63222199999998
gdb_55,-233.56062599999998
gdb_56,-229.927277
gdb_57,-246.02738300000001
gdb_58,-242.19572999999997
gdb_59,-245.997884
gdb_60,-267.10335
gdb_61,-263.278851
gdb_62,-283.16874
gdb_63,-195.186772
gdb_64,-211.295796
gdb_65,-227.338075
gdb_66,-231.108368
gdb_67,-247.21486099999998
gdb_68,-232.364952
gdb_69,-268.287661
gdb_70,-248.430371
gdb_71,-268.301176
gdb_72,-232.37770600000002
gdb_73,-248.448467
gdb_74,-248.443503
gdb_75,-264.504487
gdb_76,-248.41646200000002
gdb_77,-268.32127
gdb_78,-284.385189
gdb_79,-284.360325
gdb_80,-284.372483
gdb_81,-233.551389
gdb_82,-269.47923399999996
gdb_83,-197.629387
gdb_84,-233.55595099999996
gdb_85,-233.54589900000002
gdb_86,-196.409349
gdb_87,-232.33576800000003
gdb_88,-232.33341000000001
gdb_89,-247.201165
gdb_90,-231.15578
gdb_91,-247.22561800000003
gdb_92,-267.10621299999997
gdb_93,-247.190194
gdb_94,-267.068488
gdb_95,-196.407957
gdb_96,-232.33122999999998
gdb_97,-232.325947
gdb_98,-232.333258
gdb_99,-268.248371
gdb_100,-196.406419
gdb_101,-232.32907000000003
gdb_102,-212.438188
gdb_103,-232.33443599999998
gdb_104,-268.25111400000003
gdb_105,-195.158734
gdb_106,-231.069318
gdb_107,-192.736096
gdb_108,-208.842347
gdb_109,-224.94466
gdb_110,-229.91800299999997
gdb_111,-246.023231
gdb_112,-263.28072799999995
gdb_113,-283.156647
gdb_114,-283.179781
gdb_115,-192.76245500000002
gdb_116,-208.86326699999998
gdb_117,-229.928448
gdb_118,-231.11140299999997
gdb_119,-195.196751
gdb_120,-248.39528900000002
gdb_121,-195.186228
gdb_122,-211.295163
gdb_123,-227.324775
gdb_124,-231.092208
gdb_125,-247.19799999999998
gdb_126,-231.10631
gdb_127,-247.21445
gdb_128,-232.36362999999997
gdb_129,-248.436061
gdb_130,-268.307873
gdb_131,-268.27324
gdb_132,-268.282665
gdb_133,-197.629416
gdb_134,-233.54936800000002
gdb_135,-233.54244500000001
gdb_136,-233.547877
gdb_137,-269.465281
gdb_138,-269.468415
gdb_139,-193.963318
gdb_140,-210.001565
gdb_141,-229.879598
gdb_142,-210.071468
gdb_143,-226.107205
gdb_144,-245.983375
gdb_145,-231.14515099999997
gdb_146,-247.18433399999998
gdb_147,-267.060326
gdb_148,-247.19252400000002
gdb_149,-196.40532
gdb_150,-232.328175
gdb_151,-212.43928599999998
gdb_152,-232.3174
gdb_153,-232.32496600000002
gdb_154,-248.36435699999998
gdb_155,-268.248806
gdb_156,-195.226072
gdb_157,-247.21504900000002
gdb_158,-231.142581
gdb_159,-196.432825
gdb_160,-232.351764
gdb_161,-268.27373900000003
gdb_162,-195.179738
gdb_163,-231.093096
gdb_164,-231.102112
gdb_165,-226.144377
gdb_166,-242.180146
gdb_167,-242.205627
gdb_168,-242.19635099999996
gdb_169,-242.18601
gdb_170,-245.99406499999998
gdb_171,-262.035127
gdb_172,-262.056533
gdb_173,-262.065493
gdb_174,-278.075775
gdb_175,-262.017735
gdb_176,-278.059333
gdb_177,-294.081616
gdb_178,-285.217962
gdb_179,-323.58567999999997
gdb_180,-287.662612
gdb_181,-286.438084
gdb_182,-302.472397
gdb_183,-322.351046
gdb_184,-437.484875
gdb_185,-301.36742200000003
gdb_186,-321.236907
gdb_187,-301.405558
gdb_188,-321.276274
gdb_189,-341.145624
gdb_190,-249.39736800000003
gdb_191,-269.267574
gdb_192,-285.328258
gdb_193,-285.330157
gdb_194,-265.441614
gdb_195,-285.31361200000003
gdb_196,-301.373496
gdb_197,-301.381127
gdb_198,-285.320198
gdb_199,-301.377995
gdb_200,-301.389192
gdb_201,-249.395323
gdb_202,-265.457424
gdb_203,-269.26347599999997
gdb_204,-285.32672599999995
gdb_205,-265.43852000000004
gdb_206,-281.504579
gdb_207,-285.306999
gdb_208,-301.373831
gdb_209,-285.316421
gdb_210,-301.385442
gdb_211,-321.252793
gdb_212,-249.38749900000002
gdb_213,-265.44727
gdb_214,-232.16458599999999
gdb_215,-248.211932
gdb_216,-264.255612
gdb_217,-264.261826
gdb_218,-280.31408
gdb_219,-234.476516
gdb_220,-250.585843
gdb_221,-266.630629
gdb_222,-270.399081
gdb_223,-286.506282
gdb_224,-271.65637200000003
gdb_225,-307.582044
gdb_226,-272.841336
