CID,a
4,2.6
6,6.98
13,6.26
34,2.78
174,2.1
176,2.07
177,1.52
180,2.0
196,5.04
222,0.5967
240,3.66
241,2.8
242,4.21
243,4.21
244,3.72
260,2.71
261,2.5
262,3.1
263,2.6
264,3.04
280,1.53
281,0.968
284,1.59
289,3.79
297,0.554
299,16.94
300,3.26
307,4.6
313,1.268
335,3.72
338,4.8
342,3.72
356,3.86
398,3.06
402,7.837
527,1.8
568,5.8
650,3.00
674,1.6
679,2.71
700,2.1
702,1.59
712,1.067
713,1.56
753,3.17
768,0.932
785,3.81
878,1.66
887,1.11
904,4.65
931,4.42
942,5.61
947,0.96737
948,1.53
949,4.17
957,4.5
977,1.43
992,9.20
995,6.15
996,3.24
1001,4.18
1017,5.73
1031,2.1
1032,2.56
1049,0.982
1068,2.14
1118,3.4
1119,2.264
1133,3.18
1140,3.1
1146,2.0
1183,5.2
1493,6.35
1567,2.69
2336,8.7
2345,7.31
2347,10.8
2365,2.5
2537,5.24
2682,8.360
2707,5.1
2879,3.7
2950,8.3
2955,8.3
3024,6.05
3026,9.58
3048,13.2
3080,4.3
3283,2.55
3293,7.48
3301,2.07
3485,3.4
3776,2.1
4033,5.9
4093,2.97
4101,4.9
4133,5.2
4510,7.8
4650,3.7
4684,4.43
4685,5.08
4837,3.0
5054,3.79
5251,3.87
5281,9.80
5447,4.21
5541,7.52
5558,8.7
5561,7.1
5565,5.04
5641,3.07
5936,6.4
5943,5.3
5971,3.41
5976,1.94
5993,14
6054,4.21
6061,1.6
6115,3.3
6124,2.56
6163,5.31
6184,3.45
6212,4.12
6214,8.16
6228,2.51
6276,3.0
6278,4.63
6294,11
6319,9.0
6323,3.27
6324,1.04
6325,0.98
6326,0.91
6327,1.8
6328,4.9
6332,3.76
6333,4.46
6334,1.56
6335,1.4
6337,2.22
6338,2.15
6339,1.58
6341,1.55
6342,1.42
6343,2.14
6344,2.93
6348,2.67
6351,1.88
6354,1.49
6358,4.27
6360,2.01
6361,2.7
6363,2.04
6365,3.44
6366,3.25
6367,2.70
6368,2.3
6369,2.2
6370,3.82
6371,3.4
6372,3
6374,13.6
6375,2.11
6377,2.0
6378,2.0
6382,7.2
6384,3.8
6385,2.5
6386,2.55
6387,3.1
6389,5.04
6391,4.1
6394,6.5
6397,3.75
6398,4.45
6399,5.17
6403,3.0
6404,3.0
6406,2.96
6407,5.1
6410,2.07
6413,5.61
6419,7.0
6423,5.7
6426,7.0
6427,7.03
6428,6.5
6429,5.9
6478,9.4
6492,4.55
6497,4.35
6500,5.6
6505,14.1
6511,8.6
6517,7.22
6527,12.7
6528,11.7
6534,5.73
6535,6.28
6537,14.95
6539,8.62
6540,13.8
6544,4.77
6556,2.48
6557,2.35
6558,2.5
6559,2.38
6560,2.56
6561,2.48
6562,2.4
6564,3.9
6565,3.8
6566,3.3
6568,2.6
6569,2.41
6570,2.41
6572,2.45
6573,3.9
6575,4.53
6581,2.5
6584,2.55
6586,3.26
6587,2.58
6588,11.9
6589,3.0
6590,3.0
6591,5.79
6593,5.1
6597,4.45
6598,3.73
6627,8.45
6645,6.45
6654,4.7
6658,3.45
6673,4.77
6734,5.32
6766,7.95
6780,7.16
6786,11.5
6811,6.6
6819,11.6
6896,4.2
6901,8.99
6916,4.1
6944,4.72
6954,7.90
6998,4.2
7000,4.25
7002,4.91
7003,5.6
7015,5.8
7044,4.76
7047,4.45
7057,4.95
7061,1.0
7095,5.31
7102,5.8
7111,6.36
7148,4.63
7150,4.69
7198,6.91
7211,5.03
7220,4.1
7236,5.9
7237,3.7
7239,5.05
7242,3.69
7247,4.15
7268,5.04
7270,7.4
7276,4.30
7280,2.09
7282,3.0
7285,5.08
7288,3.0
7289,4.4
7294,2.97
7295,1.24
7296,2.9
7298,2.97
7303,3.04
7305,6.3
7321,6.31
7343,20.59
7344,4.07
7351,4.97
7354,4.8
7360,3.522
7361,3.37
7362,3.3
7366,4.62
7367,6.77
7368,5.04
7372,7.36
7386,6.59
7390,4.62
7393,5.1
7394,6.24
7406,4.1
7408,4.2
7410,4.1
7412,4.88
7416,4.25
7422,4.72
7443,6.63
7452,5.8
7463,4.62
7473,4.72
7474,5.44
7475,4.77
7492,5.8
7497,4.03
7498,5.8
7499,3.76
7500,3.66
7501,3.6
7503,4.36
7505,3.6
7509,4.28
7515,3.70
7516,3.7
7519,3.72
7525,4.0
7559,5.18
7577,6.8
7580,5.8
7582,6.25
7583,5.86
7590,5.67
7612,2.3
7616,4.9
7617,4.73
7618,5.1
7622,6.39
7635,5.93
7636,6.35
7641,12.8
7668,4.14
7670,4.2
7705,4.6
7720,4.49
7728,4.2
7732,4.28
7735,5
7745,3.52
7748,5.8
7749,3.52
7757,4.0
7761,5.52
7762,4.0
7764,3.9
7765,4.08
7766,4.07
7768,3.91
7798,5.4
7802,3.93
7804,8.1
7805,5.9
7807,5.9
7809,3.66
7810,4.37
7813,3.90
7814,3.72
7819,4.42
7825,4.3
7834,2.49
7835,3.29
7836,4.4
7838,3.32
7839,6.48
7840,4.25
7841,4.17
7842,6.87
7843,2.046
7844,1.93
7847,1.94
7849,4.94
7850,2.64
7852,2.0
7853,2.0
7854,1.9
7855,1.83
7856,2.61
7857,1.96
7858,2.00
7860,2.0
7861,2.0
7865,2.07
7867,6.05
7868,3.8
7869,3.8
7871,4.86
7892,3.00
7895,2.96
7897,3.00
7900,3.11
7902,3.03
7903,3.06
7904,3.0
7909,3.45
7912,3.5
7914,3.5
7915,3.52
7917,4.2
7918,3.5
7923,3.38
7929,3.66
7934,3.90
7937,3.70
7944,5.9
7946,1.02
7947,1.006
7954,6.36
7955,4.34
7957,4.97
7958,4.9
7959,5.0
7961,5.41
7962,3.39
7963,3.2
7964,3.88
7965,3.42
7966,3.5
7967,3.4
7975,3.2
7981,5.45
7986,10.8
7991,3.5
7993,3.5
7996,3.6
7997,3.52
