CID,a
263, 65.79
6560, 67.84
6568, 69.98
6386, 74.72
6276, 70.66
22386, 75.18
11428, 75.21
8723, 72.19
31260, 72.02
6405, 75.35
11732, 79.07
8103, 75.65
8129, 79.09
957, 85.3
7720, 87.31
8914, 91.12
8174, 94.81
7843, 30.15
6360, 32.15
8003, 35
6556, 36.92
10041, 40.27
8058, 39.96
7892, 41.66
7282, 41.02
6403, 44.35
6589, 42.49
8900, 44.89
11582, 46.6
11507, 45.96
12048, 45.34
11542, 49.29
11260, 46.65
7907, 48.3
11229, 48.17
10044, 48.96
356, 49.82
11594, 51.5
11519, 50.82
11512, 50.69
12096, 50.4
11551, 53.71
11447, 51.13
11511, 52.44
11592, 53.21
11233, 52.61
11412, 50.91
11863, 50.48
14018, 51.38
11255, 52.61
10907, 53.57
11215, 51.73
11269, 51.97
11675, 53.99
8141, 54.54
16665, 56.19
14062, 58.83
28021, 57.7
28022, 58.12
19041, 60.53
28023, 57.31
14045, 57.97
28024, 57.47
28025, 56.42
28026, 55.37
14040, 54.48
14020, 55.81
92723, 57.07
14462, 55.81
14058, 58.16
28028, 56.68
15600, 59.67
23544, 62.22
26057, 62.08
14067, 67.29
14257, 64.58
23415, 66.06
8182, 69.49
112817, 72.1
26058, 75.45
11006, 89.21
15267, 90.87
