CID,a
263, 1329.95
6560, 1332
6568, 1334.14
6386, 1338.88
6276, 1609.92
22386, 1614.44
11428, 1614.47
8723, 1611.45
31260, 1611.23
6405, 1618.33
11732, 1615.61
8103, 1890.01
8129, 2168.55
957, 2449.86
7720, 2451.87
8914, 2730.78
8174, 3009.57
7843, 1236.31
6360, 1238.31
8003, 1516.65
6556, 1518.57
10041, 1521.32
8058, 1797.1
7892, 1798.8
7282, 1798.16
6403, 1801.49
6589, 1799.63
8900, 2077.52
11582, 2079.23
11507, 2078.6
12048, 2077.97
11542, 2081.91
11260, 2080.26
7907, 2080.92
11229, 2080.81
10044, 2081.59
356, 2357.94
11594, 2359.62
11519, 2358.94
11512, 2358.81
12096, 2358.52
11551, 2361.83
11447, 2359.25
11511, 2360.56
11592, 2361.33
11233, 2360.73
11412, 2359.03
11863, 2358.6
14018, 2359.5
11255, 2360.73
10907, 2361.69
11215, 2359.85
11269, 2360.09
11675, 2362.11
8141, 2638.35
14020, 2639.05
92723, 2640.31
14462, 2640.25
14058, 2641.44
28028, 2640.07
7844, 1100.6
62695, 1103.39
8255, 1104.66
8004, 1380.83
5326161, 1383.43
11240, 1384.05
11239, 1382.11
10553, 1385.62
11597, 1660.55
639661, 1663.48
638066, 1663.61
12986, 1664.79
12969, 1662.43
12724, 1662.85
12243, 1666.58
642661, 1665.69
172092, 1665.3
12970, 1663.99
11249, 1665.79
11210, 1665.11
11250, 1667.02
11610, 1940.51
77058, 1941.4
5352447, 1944.06
16657, 1945.73
12984, 1945.14
12260, 1946.9
5326158, 1946.92
81818, 1994.71
11669, 1946.13
8125, 2220.21
5357261, 2226.53
140591, 2224.77
7869, 2225.87
13381, 2780.48
3283, 1324.42
11182, 1320.98
11721, 1324.4
15413, 1608.86
8114, 1884.11
7914, 1890.46
28488, 2174.86
8909, 2444.28
23294, 2450.72
22541, 2451.56
8012, 1291.23
10560, 1293.34
10558, 1293.42
6387, 1296.37
8067, 1571.59
10925, 1572.76
15877, 1575.65
8106, 1851.34
15422, 2131.28
8917, 2971.5
