CID,a
13, 15.85
241, 6.00
335, 0.30
356, 9.00
398, 0.06
568, 22.39
727, 31.08
931, 3.00
949, 0.11
991, 0.39
992, 0.63
995, 42.00
1140, 2.00
1254, 0.06
1732, 0.05
1752, 0.59
2078, 0.08
2256, 0.09
2336, 223.98
2347, 0.09
2730, 5.89
3017, 1.17
3023, 6.76
3026, 0.40
3035, 51.29
3036, 85.11
3037, 0.31
3082, 0.10
3102, 0.07
3118, 1.07
3120, 0.04
3283, 0.20
3346, 0.44
3347, 4.90
3352, 0.62
3589, 28.18
4004, 1.95
4130, 3.55
4211, 44.67
4684, 0.39
4685, 12.59
4754, 0.28
5216, 0.11
5455, 0.07
5558, 0.20
5569, 4.17
5889, 419.95
5943, 0.06
5954, 286.02
5993, 180.93
6115, 0.17
6129, 0.07
6212, 0.17
6214, 5.75
6278, 0.04
6294, 275.42
6333, 0.18
6344, 0.31
6366, 0.19
6386, 0.07
6403, 19.00
6456, 0.71
6527, 3.16
6535, 0.08
6537, 0.51
6544, 0.05
6545, 5.89
6557, 0.25
6564, 0.09
6574, 0.10
6575, 0.39
6591, 0.21
6616, 9.12
6623, 1.86
6641, 0.98
6697, 0.20
6709, 0.59
6710, 0.26
6720, 0.68
6734, 39.00
6758, 0.26
6766, 7.24
6800, 1.05
6838, 0.12
6853, 5.01
6854, 1.15
6895, 8.32
6901, 117.49
6905, 2.69
6906, 0.74
6907, 0.49
6914, 0.27
6924, 0.13
6944, 0.33
6945, 0.26
6946, 0.35
6977, 3.63
6979, 0.11
6983, 0.23
7002, 9.17
7015, 0.09
7031, 0.17
7042, 0.21
7047, 0.05
7048, 0.09
7055, 14.00
7070, 0.74
7094, 2.40
7095, 31.00
7103, 0.15
7108, 1.10
7110, 37.15
7195, 0.07
7219, 3.00
7221, 25.00
7222, 0.14
7237, 6.00
7238, 0.19
7239, 3.16
7240, 0.25
7244, 0.58
7245, 0.42
7247, 0.49
7248, 0.10
7257, 0.08
7258, 0.12
7259, 0.10
7262, 0.07
7269, 7.00
7270, 61.66
7280, 0.07
7285, 0.30
7292, 0.05
7296, 4.00
7311, 0.43
7368, 0.33
7370, 0.19
7374, 4.37
7390, 2.04
7393, 0.13
7406, 15.00
7407, 0.19
7416, 0.12
7422, 0.16
7423, 0.17
7443, 0.54
7450, 3.63
7453, 0.14
7473, 0.10
7474, 0.33
7475, 0.31
7485, 0.11
7486, 3.98
7499, 0.39
7500, 8.00
7515, 0.13
7543, 0.71
7563, 0.14
7567, 0.91
7583, 0.81
7657, 4.27
7668, 4.00
7670, 0.22
7716, 4.27
7726, 1.02
7734, 0.98
7804, 2.04
7809, 9.00
7810, 0.15
7812, 0.25
7839, 0.15
7850, 0.12
7868, 1.32
7874, 30.20
7907, 48.00
7927, 14.45
7929, 10.00
7932, 0.19
7933, 0.21
7941, 3.89
7944, 0.09
7947, 3.00
7950, 15.49
7961, 0.06
7962, 4.00
7964, 0.10
7977, 0.14
8003, 5.00
8005, 0.35
8029, 0.14
8030, 0.15
8058, 9.00
8078, 50.00
8089, 42.00
8115, 0.15
8141, 9.00
8182, 10.00
8183, 6.76
8222, 25.00
8268, 97.72
8289, 0.17
8295, 0.22
8330, 3.09
8341, 0.09
8343, 2.75
8370, 275.42
8381, 0.20
8398, 1.07
8404, 5.62
8418, 123.00
8445, 0.10
8447, 0.12
8449, 0.11
8461, 0.60
8553, 0.44
8640, 0.58
8679, 0.39
8814, 0.91
8864, 7.00
8900, 7.00
8909, 0.56
8946, 0.05
9076, 0.06
9106, 296.01
9115, 732.99
9117, 561.95
9128, 365.01
9131, 329.99
9142, 0.87
9144, 350.03
9152, 299.99
9153, 281.97
9154, 146.99
9158, 350.99
9161, 38.00
9163, 3.80
9170, 378.01
9171, 3.89
9183, 0.72
9195, 140.99
9201, 0.41
9253, 50.00
9268, 21.38
9298, 8.91
9411, 0.05
9443, 64.57
9481, 33.11
9502, 0.11
10044, 6.00
10263, 4.00
10326, 6.00
10372, 0.34
10522, 0.83
10686, 4.00
10695, 3.00
10698, 0.05
10812, 1.17
10870, 10.00
10907, 40.00
10911, 218.78
10913, 549.54
10943, 0.62
10952, 2.57
10989, 0.35
11006, 17.00
11008, 283.99
11123, 0.22
11137, 0.32
11140, 0.09
11169, 75.86
11215, 53.00
11229, 9.00
11233, 5.00
11269, 15.00
11304, 15.00
11327, 3.24
11364, 0.08
11386, 1.07
11416, 18.00
11487, 2.24
11507, 9.00
11512, 4.00
11542, 7.00
11551, 4.00
11563, 0.11
11571, 0.12
11582, 3.00
11592, 25.00
11594, 3.00
11635, 21.00
11636, 140.99
11795, 52.48
11816, 0.05
11855, 74.13
11883, 0.04
11899, 6.76
11903, 4.00
11936, 0.95
12024, 0.05
12048, 4.00
12064, 3.72
12096, 4.00
12100, 3.00
12160, 4.00
12172, 0.15
12276, 0.24
12279, 44.67
12388, 12.00
12389, 23.00
12391, 26.00
12395, 46.77
12398, 20.00
12401, 18.00
12403, 25.00
12405, 125.00
12406, 121.00
12407, 100.00
12408, 125.00
12409, 100.00
12410, 275.99
12411, 362.99
12463, 4.90
12464, 0.54
12469, 1.91
12471, 4.68
12486, 22.39
12487, 0.98
12534, 145.01
12535, 174.98
12566, 38.00
12592, 114.00
12668, 54.95
12902, 64.57
12971, 0.05
12992, 3.09
13025, 3.00
13068, 1.70
13089, 51.29
13190, 1.23
13211, 2.00
13257, 23.00
13381, 4.47
13402, 2.00
13403, 4.00
13411, 13.18
13428, 0.20
13438, 1.32
13529, 0.05
13627, 2.00
13629, 5.00
13636, 0.79
13694, 63.10
13709, 0.07
13745, 0.10
14062, 6.00
14091, 3.00
14257, 7.00
14410, 14.45
14716, 0.71
14855, 0.15
15089, 501.19
15413, 0.13
15415, 0.09
15421, 19.00
15431, 15.00
15504, 2.00
15508, 8.13
15600, 9.00
15625, 60.26
15653, 3.00
15712, 12.59
15767, 467.74
15769, 234.42
15788, 5.62
15910, 1.86
15979, 42.00
