CID,a
11, 563
174, 719
176, 592.71
177, 454.65
178, 761
180, 508.1
222, 405.54999999999995
260, 363.2
261, 537.0999999999999
263, 563
264, 615.2
280, 304.13
281, 134.14999999999998
284, 588
297, 190.89999999999998
300, 686.0
313, 324.54999999999995
356, 568.7
398, 617.8499999999999
527, 496
612, 675
674, 437.5
700, 671
702, 516.25
712, 414.34999999999997
768, 456.65
784, 730.15
807, 819.15
867, 805
878, 469.95
887, 513.15
947, 126.04999999999998
948, 309.52
957, 651
962, 647.3499999999999
977, 154.2
1031, 536.8499999999999
1032, 612.05
1068, 502
1118, 928.15
1119, 430.64
1146, 434.15
2682, 761
3024, 583
3283, 465.84999999999997
3301, 593
3776, 508.3
4093, 643.15
5943, 556.35
5976, 523.15
6061, 585.15
6184, 592
6212, 536.4
6228, 647.15
6276, 588.5
6278, 585
6323, 467.15
6324, 305.15
6325, 282.35
6326, 308.34999999999997
6327, 416.25
6328, 527.95
6329, 430.6
6332, 1049.9499999999998
6334, 369.96
6335, 400.8
6337, 460.15
6338, 424.65
6339, 327.84999999999997
6341, 456
6342, 545.45
6343, 498.65
6344, 508.2
6345, 351.28
6348, 553.15
6356, 260.79999999999995
6360, 407.84
6361, 485.15
6363, 472.2
6365, 523.4
6366, 493.95
6367, 519
6368, 3896.4
6369, 302.9
6370, 451.58
6371, 455
6372, 369.15
6373, 306.15
6375, 588.15
6382, 478.15
6383, 606.15
6384, 340.15
6385, 483.9
6388, 410.0
6389, 471.15
6391, 384.9
6392, 301.95
6393, 299.00
6403, 498.1
6404, 550.0
6405, 545.15
6406, 620.0
6416, 564
6422, 491.3
6426, 552.00
6427, 551.15
6428, 487.4
6429, 418.75
6430, 353
6432, 345.04999999999995
6511, 655
6553, 644.15
6556, 460.4
6557, 484.3
6558, 519
6560, 547.78
6561, 513
6562, 530.15
6565, 551.55
6568, 536.2
6569, 536.7
6573, 539.25
6575, 544.2
6577, 581
6581, 615.15
6582, 690.15
6584, 506.84999999999997
6586, 525
6587, 661.15
6589, 499.98
6590, 609.15
6591, 661.15
6594, 379.4
6658, 567
7285, 652
7288, 561.46
7294, 536.22
7295, 600
7616, 577.50
7617, 592.00
7618, 787.4499999999999
7641, 845
7720, 612.95
7749, 546
7751, 618
7761, 653
7762, 56.1
7798, 644
7819, 588
7839, 582.95
7840, 544
7843, 426.34999999999997
7844, 419.75
7847, 506.15
7848, 530
7850, 514.2611111111111
7852, 497.0
7853, 505
7854, 564.3499999999999
7855, 540
7858, 539.8
7860, 495
7863, 568.0
7865, 487.15
7868, 559.9
7869, 555
7870, 621
7896, 643
7903, 675.15
7904, 525
7909, 575.4
7912, 522.15
7914, 500.04999999999995
7915, 538.15
7918, 606
7959, 592
7997, 549.69
8003, 469.7
8005, 542.15
8007, 531.9
8008, 582.25
8016, 630
8019, 597.6
8020, 488
8021, 499.5
8023, 475
8025, 508
8038, 562
8058, 507.50
8064, 724
8067, 594
8071, 536
8095, 607
8102, 592.3
8103, 611.35
8117, 681
8128, 780.15
8129, 632.5
8130, 603.00
8133, 633.9
8141, 594.15
8148, 3607.5
8174, 690
8175, 674
8182, 658.8
8183, 657.60
8193, 721.00
8209, 743
8252, 364.9
8254, 400.15
8260, 559.95
8301, 306.45
8471, 535.6
8697, 615.2
8821, 552
8846, 600.15
8857, 523.7
8900, 540.1
8902, 555.8
8914, 671.5
9321, 653.15
9385, 458.15
9633, 339.45
9775, 418.75
9868, 345.89
9999, 401.45
10039, 552
10041, 433.75
10553, 471.00
10899, 503.15
10903, 437.84999999999997
10908, 541
10928, 508.15
11006, 722.2
11040, 584
11641, 463.51
12021, 548.00
12223, 380.65
12278, 599.25
12348, 600
12374, 740.8
12388, 676
12389, 693
12391, 707
12412, 872
12418, 624
12672, 378.59
12722, 398.07
12971, 589
12983, 510.75
13129, 374.2
13190, 638.15
13381, 617.2
14227, 782.0
14257, 638.8
14917, 461.15
15122, 646
15442, 495.15
15586, 483.45
15600, 618.1
17358, 318.723
17601, 440.15
17822, 395.34999999999997
19463, 567
20083, 629.5
23969, 373.1
24012, 620
24193, 643.15
24258, 368.34999999999997
24273, 697
24287, 591.9
24387, 558.65
24404, 324.5
24408, 588.15
24524, 144.14999999999998
24526, 417.15
24553, 234
24555, 364.04999999999995
24556, 271.65
24558, 345.5
24559, 356.15
24560, 503.34999999999997
24570, 1200.15
24602, 644.25
24615, 1177.15
24630, 1374.15
24637, 427.65
24647, 730
24648, 549.15
24682, 491.0
24749, 755
24764, 518.15
24807, 665.15
24813, 604.95
24814, 794
24816, 517.8722222222223
24817, 778.15
24819, 645.15
24823, 261.04999999999995
24841, 424.15
24870, 465
24874, 514.3
25134, 581.15
25135, 455.15
25352, 431
26010, 694
30318, 678.15
31207, 1640
31241, 607
31260, 307
31271, 830
31272, 578
31276, 599.25
31279, 556.0
31285, 600.95
31289, 658
31301, 487.79999999999995
31373, 620.25
31374, 658.15
42113, 376.46
61503, 675
62695, 428.63
67940, 412.40
86240, 454.15
91435, 675
104745, 612.05
104775, 615.2
107526, 755
125468, 680.62
145068, 180.24999999999997
522684, 444
638186, 516.5
642197, 646
643833, 544.2
2723790, 854
3032552, 430.95
5324279, 568.0
5324280, 568.0
5364673, 1640
5497163, 1640
6327428, 525.0
6328200, 289.84999999999997
6432115, 646
16682930, 678.15
45253964, 1640
