CID,a
297,15
11638,20.3
6327,17.4
6323,16
887,36
6329,20.7
6342,16
176,19.9
11643,26.5
6345,29.3
6344,22
177,36
7865,23
6324,12.5
6337,15.4
6332,8
702,19
6341,14
1032,12.1
6368,19.6
11,16
34,15.9
3301,14.4
9890,22.6
6388,18.2
6278,12.5
6325,36
6339,21.7
6338,33
11641,15
7855,17
6581,8
6369,21.3
6366,15.5
6575,10.5
8301,50
6594,16
6326,100
8254,27
180,13
527,17
6584,16
8025,16
674,14.4
7918,10.3
7295,18.5
7847,31
9033,46
6354,100
7923,7.1
6334,9.5
10899,11.1
6361,10.7
1031,13.7
3776,12.7
398,11
7852,10.4
264,10
6590,9.2
6564,14.5
1030,12.5
6406,12
8252,11.1
7850,11.1
5326315,16
7841,7.3
7858,18
7853,22
31368,6.8
24726,14.5
6565,7.8
10903,10.1
6569,11.4
261,12.5
6561,10.6
8857,11.5
11124,13
8020,13.8
6570,15.6
7904,13.4
7294,25
6351,10.4
6378,36
19593658,29
7835,21
7843,8.4
6360,8.4
8005,10.1
8002,6.6
263,11.2
6560,10.6
6568,9.8
6386,8
8007,9.8
6385,8.9
7844,10
5287573,9
62695,9.7
8255,9.6
5463022,9.3
11241,8.1
637532,12
637922,35.3
7845,12
31369,20
15447,12
3283,36
7895,8.2
7997,8
7915,8
11614,8.2
10957,8
7749,11
8021,10.1
8054,8.2
31263,9.5
8868,9.5
8121,8.4
8111,6.7
8821,14
8023,28
6658,8.2
8028,11.8
7834,19
18632,18.3
31275,22
8083,11.2
8024,27
447466,15.5
7361,16.3
8029,14.3
7362,19.3
8003,7.8
6556,7.6
10041,7.5
10977,8.6
61143,7.4
6276,10
31260,9
22386,9
6405,9
11428,9
8060,22
8004,8.7
11239,9.1
12340,9
11509,8
7359,7.7
31272,7.6
8038,10.5
7758,9.8
31256,6.9
8858,7.2
31247,8.8
7967,9.4
7360,9.7
637564,8.1
8058,7.5
7282,7
6403,7
6589,7
5365552,6.1
7964,9.6
8114,7
7914,7.9
8051,7.9
12348,7.5
31276,7.5
7912,7.1
7765,10.4
7798,5.8
7346,6.2
8172,9.2
8846,9.9
8078,8
7296,8.4
252322,7.7
66775,7.6
6115,11
7239,9.2
6895,6.6
6,22
6811,10.5
8900,6.7
11260,6.7
7720,9.7
8697,6
31241,7.2
7959,5.8
9265,6.7
7962,6.7
15431,6.7
1140,7.1
356,6.5
11255,6
8909,7.6
13187,5.9
15504,6.6
7500,6.7
7929,7
7237,7
7809,7
7501,7
8141,2.9
7635,8.1
10686,6.4
7668,6
7406,6.5
15600,5.4
7705,5.8
10870,6
8680,6.9
7366,5.7
66666,6.2
931,5.9
7095,5.8
15586,15.4
10900,12.8
10554,8.8
637923,19
7893,7.4
6557,8.9
7909,8
31245,9.7
7910,5.5
241,7.9
8034,8.2
11582,6
10907,4.8
7958,7.1
92723,4.9
14020,5.7
7734,5
