CID,a
6324,12.5
6334,9.5
7843,8.5
6360,8.4
8003,7.8
6556,7.6
10041,7.5
8058,7.5
8900,7.0
11260,6.7
356,6.5
8141,5.6
15600,5.4
6325,36.0
8252,11.0
7844,9.3
8004,8.7
6326,80.0
241,7.1
1140,7.1
6351,10.4
8078,8.0
7962,7.2
996,8.6
887,36.0
702,19.0
7858,18.0
1031,12.0
3776,12.0
263,11.2
31260,9.0
712,73.0
177,10.4
7847,31.0
6562,14.6
7362,19.3
31264,16.2
3283,48.0
180,12.8
6569,10.0
7895,8.2
11583,8.0
176,16.0
7865,20.0
8025,13.5
6584,16.0
8857,11.4
7997,8.0
7915,7.2
31272,7.6
31276,7.5
6378,21.5
31275,22.0
6327,17.4
6337,15.4
10899,10.7
8005,10.1
6563,9.1
6338,33.0
7964,7.1
11,12.8
6564,14.5
6323,16.0
6332,11.3
6329,20.7
6341,14.0
674,14.4
7852,10.4
8021,10.1
1146,11.6
8471,8.0
7855,17.3
6115,11.0
6658,12.5
7501,6.1
7237,6.0
7914,21.0
62695,9.7
