CID,a
6,22
11,16
13,6.6
34,15.9
176,19.9
177,60
180,12.8
222,28
241,7.8
261,12.5
263,11.2
264,10
281,75
284,57
289,8
297,14
356,6.5
398,11
527,17
674,14.4
679,42
700,23.5
702,19
712,73
768,40
783,75
878,21.8
887,36
931,5.9
942,4
996,8.6
1030,12.5
1031,13.7
1032,12.1
1049,12.4
1068,19.7
1140,7.1
1146,11.6
2537,3.5
3283,36
3301,12
3776,12.7
4093,8.8
4685,5.9
4837,12.5
5054,1.28
5976,95
5993,5
6061,92
6115,11
6228,15.2
6276,10
6278,15.5
6323,16
6324,12.5
6325,36
6326,100
6327,17.4
6329,20.7
6332,8
6334,9.5
6335,11.7
6337,15.4
6338,33
6339,21.7
6341,14
6342,16
6343,18
6344,23
6348,50
6351,10.3
6354,100
6360,8.4
6363,10.4
6365,11.4
6366,15.5
6368,18
6369,21.3
6378,36
6385,8.9
6386,8
6388,17.9
6397,6
6398,9.5
6399,11.9
6403,7
6405,9
6406,12
6492,6.3
6517,23
6535,10
6544,3.8
6549,5.2
6556,7.6
6557,8.9
6558,9
6561,10.6
6564,14.5
6565,7.8
6568,9.8
6569,11.4
6570,15.6
6574,15.5
6575,52
6581,8
6584,16
6589,7
6590,9.2
6594,43.7
6629,6.5
6658,8.2
6811,10.5
6944,8.8
7044,5.4
7095,5.8
7237,6.7
7239,9.2
7247,6.4
7282,7
7285,12.6
7288,6.4
7294,25
7295,18.5
7296,8.35
7351,7.59
7354,8
7360,9.7
7361,16.3
7362,19.3
7366,5.7
7406,6.5
7407,6.1
7410,6.7
7412,4.9
7463,5.6
7497,11.7
7500,6.7
7501,6.8
7503,7.1
7583,6
7635,8.14
7636,8.2
7668,6
7705,5.8
7720,9.7
7728,6.6
7734,6
7749,11
7765,10.4
7798,5.8
7802,8.8
7809,7
7819,8
7834,19
7835,21
7841,7.3
7843,8.5
7844,10
7847,31
7850,11.1
7852,10.4
7853,22
7855,17
7858,18.6
7861,39
7865,23
7868,4.8
7870,9
7892,7
7895,8.2
7900,13.74
7902,11.9
7904,13.4
7909,8
7912,7.1
7914,7.9
7915,8
7918,10.3
7923,7.1
7929,7
7946,7
7958,7.1
7959,5.7
7962,6.7
7964,9.6
7967,9.4
7991,7.6
7997,8
8002,6.6
8003,7.8
8005,10.1
8007,9.8
8011,12.1
8019,19.8
8020,13.8
8021,10.1
8023,28
8025,16
8026,50
8028,11.8
8029,14.3
8034,8.2
8038,10.5
8051,7.9
8054,8.2
8058,7.5
8063,7.8
8064,18.3
8076,1.7
8078,8
8079,2.8
8083,11.2
8095,12.7
8102,9.3
8103,7.7
8111,10
8113,9.8
8114,7
8117,10.8
8119,2.3
8121,8.4
8133,12.7
8134,22.7
8141,2.9
8146,23.5
8154,12
8160,8.54
8165,5
8172,9.2
8174,5.5
8177,24.6
8193,5.1
8252,10.3
8254,27
8255,9.6
8301,60
8404,28
8471,8
8489,8.7
8680,6.9
8697,6
8735,5.4
8821,14
8846,9.9
8857,11.5
8858,7.2
8868,9.5
8881,14.5
8892,9.3
8909,7.6
9033,54.8
9265,6.7
9321,98
9999,32
10039,29
10041,7.5
10129,7.2
10686,6.6
10899,11.1
10900,12.8
10903,10.1
10907,6
10977,8.6
11124,13
11167,30
11203,16
11239,9.1
11443,9.5
11535,12
11536,16
11552,6.8
11583,8
11641,
12228,26
12259,4
12278,7.5
12348,7.5
13143,9
15122,4
15600,5.4
16402,6.3
18725,2.5
21801,12
22311,6.1
23953,96
24404,98
24523,75
24722,5.3
24726,14.5
24730,5.8
25485,3
31241,7.2
31256,6.9
31260,9
31261,11.6
31263,11.9
31264,1.3
31268,13
31272,7.6
31275,22
31276,7.5
31288,5
31368,6.8
31369,20
31374,11.5
32881,12.5
62695,9.7
74483,36
89594,4
92431,7
104745,12.1
104775,10
140487,90.5
159055,3.5
167583,75
447466,15.5
521701,12
642197,4
5284364,16
5287573,9
5326315,16
5365552,6.1
6327386,55
6327428,40.1
6328200,88
6380953,46
6432115,4
9543187,3.5
11100674,8
11954021,5
12303031,5
12358480,7
12358497,7
15764013,98
16213094,11
23266392,54.8
24860539,5
25200196,12
25203927,12
40482208,2.5
44263835,48
46174049,7
53445481,6
71312306,7
71586776,5
101260859,7
134687881,5
134687884,7
135564772,9
135565233,13.74
