CID,a
000015,0.1042
000016,0.1042
000042,0.1012
000043,0.1052
000044,0.0968
000045,0.0775
000046,0.0956
000047,0.0859
000049,0.0499
000050,0.0332
000051,0.0199
000052,0.001
000085,0.0893
000086,0.091
000087,0.0776
000088,0.0277
000089,-0.0194
000090,0.038
000091,0.0089
000092,-0.0258
000093,-0.0352
000094,0.0927
000095,0.0915
000096,0.0814
000097,0.0801
000098,0.0604
000099,0.094
000100,0.0822
000101,0.0931
000102,0.0984
000103,0.0642
000104,0.1082
000105,0.0994
000138,0.0503
000139,0.0322
000140,0.0189
000141,0.0289
000142,0.0076
000143,-0.0072
000144,-0.0157
000145,-0.0381
000146,-0.0418
000147,-0.0013
000148,0.0986
000149,0.0976
000150,0.095
000151,0.0955
000152,0.079
000153,0.0677
000154,0.0777
000155,0.0325
000156,0.0241
000157,0.0188
000158,0.0844
000159,0.0825
000160,0.0865
000161,0.0987
000162,0.0853
000163,0.0951
000164,0.0239
000165,-0.0023
000166,0.0059
000167,0.0164
000168,-0.0055
000169,-0.0138
000170,-0.044
000171,-0.0335
000172,-0.0178
000173,-0.0643
000174,-0.0515
000175,-0.0815
000176,-0.1073
000180,0.0074
000181,0.0026
000182,-0.0046
000184,0.0288
000185,0.0118
000186,0.0406
000187,0.0207
000188,0.0027
000189,0.0496
000190,0.0239
000191,0.0066
000192,0.0082
000193,0.0556
000194,0.0397
000195,0.0202
000196,0.0284
000197,0.0635
000198,0.0448
000199,0.0505
000200,0.0533
000201,0.0376
000202,0.025
000203,0.0074
000204,0.0558
000205,0.0391
000206,0.029
000207,0.0107
000208,0.05
000209,0.0315
000210,0.001
000211,0.0463
000212,0.0324
000213,0.0029
000214,-0.0225
000215,-0.0511
000216,-0.0415
000217,-0.0554
000293,0.0812
000294,0.0812
000295,0.0728
000296,0.0743
000297,0.0616
000298,0.083
000299,0.0794
000300,0.0887
000301,0.0798
000302,0.0923
000303,0.0873
000304,0.0305
000305,-0.0163
000306,0.0387
000307,0.0124
000308,-0.0233
000309,-0.0206
000310,0.0906
000311,0.0942
000312,0.0788
000313,0.0838
000314,0.0691
000315,0.0984
000316,0.1012
000317,0.0834
000318,0.0809
000319,0.0682
000397,0.0571
000398,0.037
000399,0.0441
000400,0.0226
000401,0.0263
000402,0.0031
000403,0.029
000404,0.035
000405,0.0136
000406,-0.0141
000407,-0.0234
000408,-0.0374
000409,-0.0315
000410,0.0757
000411,0.0724
000412,0.081
000413,0.0859
000414,0.0877
000415,0.0723
000416,0.0897
000417,0.0639
000418,-0.0163
000419,0.0373
000420,0.0284
000421,0.0099
000422,-0.0238
000423,-0.0323
000424,0.0394
000425,0.0196
000426,0.0012
000427,-0.0284
000428,0.0204
000429,0.0123
000430,-0.0058
000431,0.0842
000432,0.0751
000433,0.085
000434,0.0626
000435,0.0591
000436,-0.0049
000437,-0.0164
000438,-0.0013
000439,-0.0182
000440,-0.0315
000441,-0.0302
000442,-0.0429
000443,-0.0263
000444,0.0316
000445,0.0187
000446,0.0548
000447,-0.0124
000448,0.0377
000449,0.0149
000450,-0.0253
000451,-0.0003
000452,0.0629
000453,0.052
000454,0.0401
000455,0.037
000456,0.0249
000457,0.0319
000458,0.0313
000459,0.0261
000460,0.0209
000461,0.03
000462,0.0239
000463,0.0182
000464,0.0142
000465,0.0828
000466,0.0868
000467,0.0839
000468,0.0904
000469,0.0896
000470,0.0738
000471,0.0712
000472,0.0841
000473,0.0725
000474,0.0826
000475,0.0537
000476,0.0505
000477,0.0951
000478,0.0868
000479,0.0805
000480,0.0955
000481,0.0834
000482,0.0706
000550,0.0501
000551,0.0206
000552,0.0374
000553,0.0282
000554,0.0144
000555,-0.0024
000556,0.0136
000557,-0.023
000558,-0.0357
000559,-0.0341
000560,0.0265
000561,0.0325
000562,0.0897
000563,0.087
000564,0.0778
000565,0.0871
000566,0.0697
000567,0.0775
000568,0.0698
000569,0.0686
000570,0.0556
000571,0.0484
000572,0.0381
000573,0.0346
000574,0.0237
000575,0.0256
000576,0.0199
000577,0.0211
000578,-0.0201
000579,-0.0268
000580,-0.0285
000581,-0.0251
000582,0.0288
000583,0.0022
000584,0.0572
000585,0.0408
000586,0.0288
000587,0.0954
000588,0.0961
000589,0.0931
000590,0.0952
000591,0.0923
000592,0.0781
000593,0.0832
000594,0.0807
000595,0.0771
000596,0.0883
000597,0.0508
000598,0.0307
000599,0.0378
000600,0.016
000601,0.0209
000602,-0.0034
000603,0.0338
000604,0.0112
000605,0.0359
000606,0.0249
000607,-0.0158
000608,0.0039
000609,-0.0262
000610,-0.0431
000611,-0.0384
000612,-0.0148
000613,0.0794
000614,0.072
000615,0.0801
000616,0.094
000617,0.0822
000618,0.0865
000619,0.0971
000620,0.0929
000621,0.0695
000622,0.093
000623,0.0739
000624,0.079
000625,-0.0086
000626,-0.0237
000627,-0.027
000628,0.0075
000629,0.033
000630,0.0176
000631,0.012
000632,0.0373
000633,0.0939
000634,0.0883
000635,0.0898
000636,0.0791
000637,0.0627
000638,0.0859
000639,0.0944
000640,0.0811
000641,0.0696
000642,0.0588
000643,0.0764
000644,0.0656
000645,0.0181
000646,0.0008
000647,0.0922
000648,0.0984
000649,0.0923
000650,0.1047
000651,0.0894
000652,0.0751
000653,0.0631
000654,0.0243
000655,0.0337
000656,0.0278
000657,0.087
000658,0.0894
000659,0.0954
000660,0.0912
000661,0.0842
000662,0.0766
