CID,a
11, 24
13, 24.0
176, 2.5
177, 0.0002
180, 47.5
222, 0.0266
263, 0.3600
264, 0.001
284, 0.0450
313, 7.0
356, 725.0000
398, 17.5
568, 0.7752
674, 0.0486
702, 0.3420
712, 1.4700
713, 150
768, 0.9
807, 9.00
887, 13.1150
944, 0.75
957, 0.69
991, 0.476
996, 0.1786
1032, 0.0840
1049, 0.01
1119, 1.1750
1146, 0.0008
1567, 0.38
3036, 5.0725
3283, 0.99
3301, 2.50
3776, 7.84
4004, 13.5
4130, 0.1328
4650, 0.4000
5976, 12.0
5993, 0.0084
6061, 1.75
6115, 0.0002
6212, 250
6228, 300
6276, 0.4332
6323, 80
6329, 0.0252
6332, 890
6334, 1800
6342, 70.0
6344, 540
6348, 0.0243
6354, 520
6356, 4.50
6359, 1680
6363, 0.504
6365, 445.5
6374, 0.0062
6378, 24.7500
6386, 219
6389, 28.0
6428, 342
6478, 1.5
6492, 0.0297
6544, 1
6568, 131.1500
6569, 0.7375
6584, 610
6591, 21.0
6734, 0.5048
6901, 12
7095, 0.0062
7239, 12.0
7276, 0.3093
7280, 0.0965
7362, 0.0240
7390, 30
7407, 0.2496
7410, 0.8347
7416, 0.0235
7500, 8.7
7501, 0.4300
7502, 1.16
7503, 0.235
7521, 1.16
7612, 5.0
7635, 0.51
7728, 0.03
7838, 44
7839, 76.80
7843, 2.8500
7847, 0.0525
7855, 8.1000
7858, 1.9500
7865, 500
7892, 0.2886
7909, 0.410
7914, 0.07
7915, 0.19
7918, 0.56
7949, 0.0240
7958, 1.8600
7964, 0.98
7967, 0.4800
7969, 0.0012
7975, 0.05
7997, 0.21
8003, 6.6
8005, 3.3352
8028, 7.37
8038, 0.01
8115, 90
8148, 0.4232
8449, 1.4007
8471, 0.36
8723, 0.045
8821, 0.0008
8857, 0.0196
8858, 0.068
8900, 200
8902, 0.4140
8909, 0.37
10461, 0.0150
10757, 0.1020
11328, 0.0428
11443, 3.2
12348, 0.0265
14917, 0.0333
16704, 25
16945, 5.0667
24408, 0.329
24524, 6.0
24526, 0.0300
24547, 0.2
24555, 0.033
24807, 7.0
25353, 0.0042
25485, 210
31272, 33.13
31374, 163.8
104745, 0.0840
104775, 0.001
145068, 0.3600
447466, 0.105
3032552, 2.0
6328162, 0.36
6328200, 2.0000
11954021, 0.0084
12303031, 0.0084
15764013, 2.5
16213094, 240
24860539, 0.0084
134687881, 0.0084
