CID,a
000015,0.0005
000016,1.7675
000042,0.1136
000043,1.812
000044,1.1353
000045,1.3894
000046,0
000047,1.7978
000049,1.8689
000050,3.6193
000051,0.5571
000052,1.5081
000085,0.1068
000086,1.8235
000087,1.3822
000088,2.5732
000089,2.7119
000090,3.6671
000091,3.9339
000092,2.5257
000093,0.8477
000094,0.095
000095,1.6826
000096,1.8995
000097,1.4604
000098,2.4158
000099,0.1023
000100,1.3092
000101,1.2483
000102,1.8159
000103,2.4925
000104,0.0002
000105,1.8725
000138,0.8635
000139,1.2763
000140,1.7013
000141,4.1966
000142,2.8377
000143,3.6533
000144,3.147
000145,2.03
000146,2.3951
000147,3.2517
000148,0.095
000149,1.7468
000150,1.0617
000151,1.0906
000152,1.3201
000153,2.9395
000154,1.7822
000155,0.1413
000156,1.6299
000157,1.5715
000158,0.001
000159,1.465
000160,1.3482
000161,0.2527
000162,1.7167
000163,1.8518
000164,2.2277
000165,4.2954
000166,2.79
000167,5.498
000168,0.0597
000169,2.8629
000170,3.4411
000171,1.126
000172,3.1035
000173,2.8915
000174,3.2148
000175,1.9641
000176,0.6581
000180,0.8763
000181,1.2383
000182,1.1556
000184,3.2823
000185,3.6351
000186,3.6997
000187,4.6537
000188,4.4195
000189,1.9162
000190,0.5222
000191,2.0636
000192,1.3368
000193,1.5102
000194,1.5774
000195,2.9659
000196,1.8589
000197,0.9982
000198,2.938
000199,2.18
000200,1.6978
000201,3.3147
000202,0.8398
000203,1.3204
000204,1.8044
000205,3.0074
000206,1.7218
000207,1.6737
000208,1.6811
000209,2.8207
000210,0.4508
000211,2.0318
000212,3.9054
000213,0
000214,2.1103
000215,0
000216,2.2031
000217,0.0001
000293,0.0245
000294,1.636
000295,1.888
000296,1.3454
000297,2.486
000298,1.2792
000299,1.9707
000300,0.0963
000301,1.2745
000302,1.7972
000303,1.1514
000304,2.8604
000305,2.8997
000306,3.855
000307,4.16
000308,2.5981
000309,3.0457
000310,0.1412
000311,1.5588
000312,1.398
000313,1.5574
000314,1.3233
000315,0.2077
000316,1.8191
000317,1.9709
000318,1.329
000319,1.7613
000397,0.7654
000398,4.1425
000399,1.9146
000400,4.9191
000401,1.7508
000402,3.8379
000403,3.0748
000404,1.2031
000405,3.5524
000406,2.9392
000407,3.0447
000408,2.2978
000409,2.375
000410,1.3206
000411,2.1168
000412,1.7232
000413,0.1151
000414,1.7595
000415,1.3751
000416,1.104
000417,2.0651
000418,2.6766
000419,3.5654
000420,2.5239
000421,3.9998
000422,2.556
000423,0.9705
000424,3.6013
000425,1.33
000426,2.9069
000427,2.1771
000428,2.5208
000429,1.2035
000430,3.0125
000431,0.1206
000432,1.3078
000433,1.7671
000434,2.3269
000435,1.022
000436,3.4388
000437,2.5958
000438,3.246
000439,2.525
000440,1.6338
000441,3.3473
000442,3.5709
000443,4.2248
000444,3.1568
000445,1.8361
000446,4.2769
000447,2.8451
000448,3.7977
000449,4.3159
000450,1.8765
000451,2.7134
000452,3.9802
000453,4.8739
000454,5.0601
000455,0.2336
000456,1.8189
000457,1.2483
000458,0.1489
000459,1.8411
000460,1.4817
000461,0.1605
000462,1.5301
000463,1.4505
000464,1.7344
000465,0.0756
000466,1.5053
000467,1.7082
000468,1.2942
000469,1.0448
000470,1.3247
000471,1.5931
000472,0.0164
000473,1.3139
000474,1.3293
000475,1.9714
000476,0.6618
000477,0.3029
000478,1.6329
000479,1.8852
000480,1.8535
000481,1.1413
000482,2.2569
000550,0.7819
000551,1.8509
000552,1.2731
000553,4.1766
000554,3.0536
000555,4.2848
000556,2.742
000557,2.8867
000558,2.8301
000559,1.1864
000560,4.2072
000561,2.0739
000562,0.0792
000563,1.6234
000564,1.9413
000565,1.0403
000566,2.1966
000567,1.2955
000568,2.5785
000569,2.2789
000570,0.6877
000571,1.9719
000572,0.8803
000573,4.0027
000574,4.3345
000575,4.8091
000576,4.358
000577,3.3988
000578,2.7826
000579,2.6802
000580,2.8138
000581,2.6644
000582,3.5897
000583,3.9549
000584,0.1421
000585,1.9282
000586,2.024
000587,0.1174
000588,1.6966
000589,1.0196
000590,0.9952
000591,0.9417
000592,2.561
000593,2.483
000594,1.392
000595,1.0902
000596,2.7069
000597,0.8753
000598,4.1979
000599,1.6946
000600,4.7574
000601,1.7653
000602,3.7031
000603,0.9125
000604,3.0219
000605,1.2269
000606,4.0674
000607,3.3091
000608,3.6028
000609,3.196
000610,3.1275
000611,1.4054
000612,4.3878
000613,1.3825
000614,2.3104
000615,2.0793
000616,0.117
000617,1.2983
000618,1.2559
000619,1.7551
000620,1.1836
000621,2.1379
000622,0.9946
000623,1.6821
000624,1.0353
000625,2.6757
000626,2.4621
000627,2.0825
000628,3.0813
000629,3.4477
000630,3.5751
000631,2.4867
000632,3.0016
000633,0.0271
000634,1.7161
000635,1.0303
000636,1.5102
000637,2.731
000638,1.5413
000639,0.1291
000640,1.6374
000641,1.8251
000642,1.9279
000643,1.8101
000644,1.7363
000645,0.1535
000646,1.7949
000647,0.047
000648,1.6503
000649,1.6655
000650,0.1283
000651,1.993
000652,1.4563
000653,1.8437
000654,1.1836
000655,0.2447
000656,2.2186
000657,0
000658,1.3202
000659,0
000660,1.8428
000661,0.1319
000662,1.7554
000663,1.2594
000664,0.1799
000665,1.6332
000666,1.3959
000667,1.6786
000668,0.2073
000669,1.5227
000670,1.4999
000671,1.8478
000672,0.1741
000673,1.3987
000674,1.5611
000675,1.059
000676,1.8302
000677,2.8893
000678,2.2543
000679,2.6904
000680,3.2426
000681,3.8131
000682,3.691
000683,2.7712
000684,2.1794
000685,3.7175
000686,4.1654
000687,0.2782
000688,1.8181
000689,1.6252
000690,1.4055
000691,2.6703
000692,1.9201
000693,1.7907
000694,0
000695,1.6815
000696,1.8496
000697,1.5668
000698,1.4437
000699,0
000700,0
000701,1.8416
000702,1.0782
000703,2.8886
000704,2.6444
000705,1.903
000706,0.339
000707,1.6601
000708,1.8604
000709,1.5349
000710,2.8506
000711,3.3094
000712,3.1711
000713,1.7558
000714,0.2808
000715,1.6922
000716,1.6597
000717,1.7566
000718,0.0001
000719,1.9051
000720,3.9853
000721,4.753
000722,0.0004
000723,2.5272
000724,4.38
000725,2.6766
000726,3.1194
000727,4.8091
000728,4.0664
000729,2.2444
000730,4.1169
000731,3.2522
000732,3.6981
000733,3.1055
000734,1.8949
000735,1.9119
000736,2.3091
000737,0.5006
000738,2.0655
000739,2.8649
000740,1.0701
000741,3.7027
000742,2.7404
000743,2.2871
000744,4.458
000745,3.1995
000746,5.9568
000747,5.7041
000748,0.4905
000749,2.7916
